I
1130 Generated by WorldEditor 2.0.0r4

1     16 1 0 EKMB Lolland Falster Maribo
1302 city Lolland Falster / Maribo
1302 country Denmark
1302 datum_lat 54.699344444
1302 datum_lon 11.440116667
1302 faa_code 
1302 iata_code MRW
1302 icao_code EKMB
1302 region_code EK
1302 state Zealand
1302 transition_alt 
1302 transition_level 
100 30.00 1 0 0.25 0 2 0 09  54.70006670  011.42918060    0    0 2 6 0 2 27  54.69885000  011.44766940    0    0 2 6 0 2
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_1D.pol 
111  54.697120259  11.445941979 
111  54.697113976  11.446025331 
111  54.697208532  11.446046470 
113  54.697214738  11.445963617
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_1D.pol 
111  54.697171052  11.445238854 
111  54.697164769  11.445322206 
111  54.697259324  11.445343345 
113  54.697265531  11.445260492
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_1D.pol 
111  54.697148337  11.445569171 
111  54.696953715  11.445525244 
111  54.696943730  11.445658015 
111  54.696937475  11.445740999 
111  54.696925356  11.445901776 
111  54.696919117  11.445984544 
111  54.696907192  11.446142752 
111  54.697101814  11.446186679 
111  54.697113976  11.446025331 
111  54.697120259  11.445941979 
111  54.697132417  11.445780683 
113  54.697138673  11.445697695
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_1D.pol 
111  54.697199130  11.444866045 
111  54.697004507  11.444822118 
111  54.696994522  11.444954889 
111  54.696988267  11.445037873 
111  54.696976148  11.445198650 
111  54.696969909  11.445281419 
111  54.696957984  11.445439627 
111  54.697152607  11.445483554 
111  54.697164769  11.445322206 
111  54.697171052  11.445238854 
111  54.697183210  11.445077558 
113  54.697189465  11.444994570
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_1D.pol 
111  54.696832303  11.445881015 
111  54.696826097  11.445963868 
111  54.696919117  11.445984544 
113  54.696925356  11.445901776
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_1D.pol 
111  54.696883096  11.445177890 
111  54.696876889  11.445260742 
111  54.696969909  11.445281419 
113  54.696976148  11.445198650
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_1D.pol 
111  54.696850157  11.445636970 
111  54.696843951  11.445719822 
111  54.696937475  11.445740999 
113  54.696943730  11.445658015
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_1D.pol 
111  54.696900950  11.444933844 
111  54.696894743  11.445016696 
111  54.696988267  11.445037873 
113  54.696994522  11.444954889
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_1D.pol 
111  54.697138673  11.445697695 
111  54.697132417  11.445780683 
111  54.697224565  11.445801403 
113  54.697230771  11.445718550
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_1D.pol 
111  54.697189465  11.444994570 
111  54.697183210  11.445077558 
111  54.697275357  11.445098278 
113  54.697281564  11.445015424
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_4L.pol 
111  54.697649501  11.445921119 
111  54.697667300  11.445667720 
111  54.697738603  11.445678640 
111  54.697740031  11.445658355 
111  54.697635999  11.445642399 
113  54.697617246  11.445914965
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_4L.pol 
111  54.697617246  11.445914965 
111  54.697612410  11.445964043 
111  54.697715538  11.445981296 
111  54.697718085  11.445931421 
113  54.697649501  11.445921119
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_4D.pol 
111  54.697261814  11.446994725 
111  54.697253299  11.447105648 
111  54.697294552  11.447106477 
113  54.697304605  11.446994003
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_4D.pol 
111  54.697055869  11.450704314 
112  54.697078377  11.451022378  54.697072958  11.451177333 
111  54.697078377  11.451022378 
111  54.697038243  11.451782449 
112  54.696951285  11.451929062  54.696876188  11.451923703 
111  54.696951285  11.451929062 
111  54.697137092  11.451989508 
112  54.697137092  11.451989508  54.697113350  11.451977898 
112  54.697074661  11.451862883  54.697077758  11.451758835 
111  54.697074661  11.451862883 
111  54.697121484  11.451065461 
112  54.697115538  11.450833967  54.697104761  11.450707288 
111  54.697115538  11.450833967 
113  54.697095068  11.450671213
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_4D.pol 
111  54.697066736  11.450413358 
112  54.697068390  11.449993798  54.697084600  11.449727969 
111  54.697068390  11.449993798 
112  54.697259593  11.447957575  54.697263421  11.447912733 
111  54.697283168  11.447833949 
111  54.697325574  11.447851674 
112  54.697484524  11.447087014  54.697551912  11.446758171 
111  54.697484524  11.447087014 
112  54.697484524  11.447087014  54.697520013  11.446913835 
112  54.697554196  11.446729687  54.697556878  11.446691929 
111  54.697554196  11.446729687 
112  54.697564413  11.446588654  54.697566308  11.446558562 
111  54.697564413  11.446588654 
112  54.697556342  11.446572144  54.697550335  11.446551965 
112  54.697578742  11.446426184  54.697589673  11.446413573 
111  54.697578742  11.446426184 
112  54.697578742  11.446426184  54.697607737  11.446408989 
111  54.697686009  11.446436396 
112  54.697691735  11.446341620  54.697690524  11.446339874 
111  54.697691735  11.446341620 
112  54.697691735  11.446341620  54.697663421  11.446390340 
111  54.697592403  11.446366283 
112  54.697584618  11.446343343  54.697586653  11.446319569 
111  54.697584618  11.446343343 
111  54.697584327  11.446299180 
112  54.697529022  11.446136556  54.697468468  11.446103096 
111  54.697529022  11.446136556 
111  54.697524647  11.446135761 
111  54.697443877  11.446121076 
111  54.697484285  11.445497708 
111  54.697646400  11.445530237 
111  54.697650671  11.445467778 
111  54.697381931  11.445419922 
111  54.697328221  11.446104627 
111  54.697382024  11.446115021 
111  54.697304605  11.446994003 
111  54.697294552  11.447106477 
112  54.697019488  11.450061717  54.697016630  11.450139982 
111  54.697019488  11.450061717 
112  54.697019488  11.450061717  54.697007671  11.450193610 
112  54.697015890  11.450383969  54.697017343  11.450442206 
111  54.697055869  11.450704314 
111  54.697095068  11.450671213 
111  54.697090384  11.450628582 
113  54.697074791  11.450486666
111  54.697374639  11.447189711 
112  54.697374639  11.447189711  54.697345113  11.447229471 
111  54.697326054  11.447184422 
111  54.697398817  11.446422411 
112  54.697398817  11.446422411  54.697419446  11.446344483 
112  54.697530078  11.446390486  54.697536761  11.446449310 
111  54.697530078  11.446390486 
113  54.697452375  11.446766290
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_4L.pol 
111  54.697443877  11.446121076 
111  54.697524647  11.446135761 
111  54.697527263  11.446091533 
111  54.697607603  11.446103157 
111  54.697646400  11.445530237 
113  54.697484285  11.445497708
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_4D.pol 
111  54.697340532  11.449896426 
111  54.697320963  11.450138027 
112  54.697247077  11.450254256  54.697183572  11.450267992 
111  54.697247077  11.450254256 
111  54.697098069  11.450259529 
111  54.697074791  11.450486666 
111  54.697090384  11.450628582 
111  54.697107853  11.450439167 
112  54.697118845  11.450390561  54.697129274  11.450372160 
111  54.697118845  11.450390561 
112  54.697181129  11.450326107  54.697220802  11.450316907 
111  54.697181129  11.450326107 
111  54.697238332  11.450325065 
112  54.697238332  11.450325065  54.697269825  11.450330373 
111  54.697267228  11.450367316 
111  54.697264785  11.450424374 
111  54.697421106  11.450462413 
111  54.697421916  11.450419213 
111  54.697424282  11.450361162 
111  54.697446661  11.450199307 
111  54.697354676  11.450174321 
111  54.697367982  11.449946776 
112  54.697367982  11.449946776  54.697368493  11.449928198 
113  54.697374088  11.449901341
100 40.00 3 0 0.00 0 0 0 09S  54.70048194  011.42920545    0    0 1 0 0 0 27S  54.69925944  011.44777349    0    0 1 0 0 0
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_1D.pol 
111  54.697120259  11.445941979 
111  54.697113976  11.446025331 
111  54.697208532  11.446046470 
113  54.697214738  11.445963617
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_1D.pol 
111  54.697171052  11.445238854 
111  54.697164769  11.445322206 
111  54.697259324  11.445343345 
113  54.697265531  11.445260492
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_1D.pol 
111  54.697148337  11.445569171 
111  54.696953715  11.445525244 
111  54.696943730  11.445658015 
111  54.696937475  11.445740999 
111  54.696925356  11.445901776 
111  54.696919117  11.445984544 
111  54.696907192  11.446142752 
111  54.697101814  11.446186679 
111  54.697113976  11.446025331 
111  54.697120259  11.445941979 
111  54.697132417  11.445780683 
113  54.697138673  11.445697695
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_1D.pol 
111  54.697199130  11.444866045 
111  54.697004507  11.444822118 
111  54.696994522  11.444954889 
111  54.696988267  11.445037873 
111  54.696976148  11.445198650 
111  54.696969909  11.445281419 
111  54.696957984  11.445439627 
111  54.697152607  11.445483554 
111  54.697164769  11.445322206 
111  54.697171052  11.445238854 
111  54.697183210  11.445077558 
113  54.697189465  11.444994570
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_1D.pol 
111  54.696832303  11.445881015 
111  54.696826097  11.445963868 
111  54.696919117  11.445984544 
113  54.696925356  11.445901776
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_1D.pol 
111  54.696883096  11.445177890 
111  54.696876889  11.445260742 
111  54.696969909  11.445281419 
113  54.696976148  11.445198650
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_1D.pol 
111  54.696850157  11.445636970 
111  54.696843951  11.445719822 
111  54.696937475  11.445740999 
113  54.696943730  11.445658015
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_1D.pol 
111  54.696900950  11.444933844 
111  54.696894743  11.445016696 
111  54.696988267  11.445037873 
113  54.696994522  11.444954889
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_1D.pol 
111  54.697138673  11.445697695 
111  54.697132417  11.445780683 
111  54.697224565  11.445801403 
113  54.697230771  11.445718550
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_1D.pol 
111  54.697189465  11.444994570 
111  54.697183210  11.445077558 
111  54.697275357  11.445098278 
113  54.697281564  11.445015424
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_4L.pol 
111  54.697649501  11.445921119 
111  54.697667300  11.445667720 
111  54.697738603  11.445678640 
111  54.697740031  11.445658355 
111  54.697635999  11.445642399 
113  54.697617246  11.445914965
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_4L.pol 
111  54.697617246  11.445914965 
111  54.697612410  11.445964043 
111  54.697715538  11.445981296 
111  54.697718085  11.445931421 
113  54.697649501  11.445921119
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_4D.pol 
111  54.697261814  11.446994725 
111  54.697253299  11.447105648 
111  54.697294552  11.447106477 
113  54.697304605  11.446994003
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_4D.pol 
111  54.697055869  11.450704314 
112  54.697078377  11.451022378  54.697072958  11.451177333 
111  54.697078377  11.451022378 
111  54.697038243  11.451782449 
112  54.696951285  11.451929062  54.696876188  11.451923703 
111  54.696951285  11.451929062 
111  54.697137092  11.451989508 
112  54.697137092  11.451989508  54.697113350  11.451977898 
112  54.697074661  11.451862883  54.697077758  11.451758835 
111  54.697074661  11.451862883 
111  54.697121484  11.451065461 
112  54.697115538  11.450833967  54.697104761  11.450707288 
111  54.697115538  11.450833967 
113  54.697095068  11.450671213
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_4D.pol 
111  54.697066736  11.450413358 
112  54.697068390  11.449993798  54.697084600  11.449727969 
111  54.697068390  11.449993798 
112  54.697259593  11.447957575  54.697263421  11.447912733 
111  54.697283168  11.447833949 
111  54.697325574  11.447851674 
112  54.697484524  11.447087014  54.697551912  11.446758171 
111  54.697484524  11.447087014 
112  54.697484524  11.447087014  54.697520013  11.446913835 
112  54.697554196  11.446729687  54.697556878  11.446691929 
111  54.697554196  11.446729687 
112  54.697564413  11.446588654  54.697566308  11.446558562 
111  54.697564413  11.446588654 
112  54.697556342  11.446572144  54.697550335  11.446551965 
112  54.697578742  11.446426184  54.697589673  11.446413573 
111  54.697578742  11.446426184 
112  54.697578742  11.446426184  54.697607737  11.446408989 
111  54.697686009  11.446436396 
112  54.697691735  11.446341620  54.697690524  11.446339874 
111  54.697691735  11.446341620 
112  54.697691735  11.446341620  54.697663421  11.446390340 
111  54.697592403  11.446366283 
112  54.697584618  11.446343343  54.697586653  11.446319569 
111  54.697584618  11.446343343 
111  54.697584327  11.446299180 
112  54.697529022  11.446136556  54.697468468  11.446103096 
111  54.697529022  11.446136556 
111  54.697524647  11.446135761 
111  54.697443877  11.446121076 
111  54.697484285  11.445497708 
111  54.697646400  11.445530237 
111  54.697650671  11.445467778 
111  54.697381931  11.445419922 
111  54.697328221  11.446104627 
111  54.697382024  11.446115021 
111  54.697304605  11.446994003 
111  54.697294552  11.447106477 
112  54.697019488  11.450061717  54.697016630  11.450139982 
111  54.697019488  11.450061717 
112  54.697019488  11.450061717  54.697007671  11.450193610 
112  54.697015890  11.450383969  54.697017343  11.450442206 
111  54.697055869  11.450704314 
111  54.697095068  11.450671213 
111  54.697090384  11.450628582 
113  54.697074791  11.450486666
111  54.697374639  11.447189711 
112  54.697374639  11.447189711  54.697345113  11.447229471 
111  54.697326054  11.447184422 
111  54.697398817  11.446422411 
112  54.697398817  11.446422411  54.697419446  11.446344483 
112  54.697530078  11.446390486  54.697536761  11.446449310 
111  54.697530078  11.446390486 
113  54.697452375  11.446766290
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_4L.pol 
111  54.697443877  11.446121076 
111  54.697524647  11.446135761 
111  54.697527263  11.446091533 
111  54.697607603  11.446103157 
111  54.697646400  11.445530237 
113  54.697484285  11.445497708
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_4D.pol 
111  54.697340532  11.449896426 
111  54.697320963  11.450138027 
112  54.697247077  11.450254256  54.697183572  11.450267992 
111  54.697247077  11.450254256 
111  54.697098069  11.450259529 
111  54.697074791  11.450486666 
111  54.697090384  11.450628582 
111  54.697107853  11.450439167 
112  54.697118845  11.450390561  54.697129274  11.450372160 
111  54.697118845  11.450390561 
112  54.697181129  11.450326107  54.697220802  11.450316907 
111  54.697181129  11.450326107 
111  54.697238332  11.450325065 
112  54.697238332  11.450325065  54.697269825  11.450330373 
111  54.697267228  11.450367316 
111  54.697264785  11.450424374 
111  54.697421106  11.450462413 
111  54.697421916  11.450419213 
111  54.697424282  11.450361162 
111  54.697446661  11.450199307 
111  54.697354676  11.450174321 
111  54.697367982  11.449946776 
112  54.697367982  11.449946776  54.697368493  11.449928198 
113  54.697374088  11.449901341
110 1 1.00 0.0000 Taxiway Old Hangar
111  54.69804210  011.44659373
111  54.69796575  011.44657769
112  54.69797986  011.44678212  54.69797191  011.44692068
112  54.69790524  011.44716253  54.69787412  011.44727476
111  54.69781757  011.44746100
111  54.69771274  011.44779740
111  54.69764222  011.44802826
111  54.69770035  011.44806784
112  54.69786425  011.44753520  54.69789800  011.44742527
111  54.69795670  011.44720541
112  54.69802025  011.44688220  54.69803217  011.44678257
114  54.69803409  011.44673113  54.69803872  011.44667158
110 1 1.00 0.0000 Apron Old Hangar
111  54.69764241  011.44802729
112  54.69761846  011.44813994  54.69761710  011.44815509
111  54.69761846  011.44813994
112  54.69761846  011.44813994  54.69760240  011.44821483
112  54.69759205  011.44828029  54.69758923  011.44834320
111  54.69759205  011.44828029
112  54.69759205  011.44828029  54.69758829  011.44833344
111  54.69756410  011.44834074
111  54.69747119  011.44832360
111  54.69735876  011.44829979
111  54.69725210  011.44956431
111  54.69740532  011.44959905
111  54.69735003  011.44976529
111  54.69734053  011.44989643
111  54.69737409  011.44990134
111  54.69741033  011.44984572
111  54.69748308  011.44974944
112  54.69754468  011.44957422  54.69756256  011.44942984
111  54.69754468  011.44957422
112  54.69765699  011.44830575  54.69765795  011.44829581
111  54.69765699  011.44830575
112  54.69765699  011.44830575  54.69765827  011.44825439
113  54.69770054  011.44806687
111  54.69746761  011.44842206
111  54.69755801  011.44843899
112  54.69757587  011.44848625  54.69757359  011.44852092
111  54.69757587  011.44848625
112  54.69757587  011.44848625  54.69757246  011.44852204
111  54.69755160  011.44852146
113  54.69746151  011.44850140
111  54.69745427  011.44859380
111  54.69754313  011.44861497
112  54.69756260  011.44866271  54.69755919  011.44869895
111  54.69753745  011.44869881
113  54.69744744  011.44867652
111  54.69752441  011.44886564
111  54.69743195  011.44884682
111  54.69743745  011.44877161
111  54.69753053  011.44879350
114  54.69754981  011.44883751  54.69754655  011.44887587
111  54.69753549  011.44900613
111  54.69742673  011.44898254
111  54.69742955  011.44894462
111  54.69751735  011.44896009
114  54.69753090  011.44897647  54.69753540  011.44898699
110 2 1.00 97.0000 Concrete Apron
111  54.69807816  011.44598232
111  54.69771808  011.44593142
111  54.69771554  011.44598130
111  54.69769173  011.44634162
111  54.69768601  011.44643640
111  54.69768164  011.44651709
111  54.69796575  011.44657769
113  54.69804210  011.44659373
110 1 0.00 5.5000 TWY A
111  54.69890917  011.44471513
112  54.69890917  011.44471513  54.69888667  011.44495243 53 102
111  54.69877550  011.44491737 53 102
111  54.69842951  011.44484707 53 102
111  54.69805847  011.44477515
111  54.69813714  011.44512448 53 102
112  54.69824814  011.44495467  54.69831042  011.44493459
111  54.69824814  011.44495467 53 102
111  54.69841925  011.44498917 53 102
111  54.69876813  011.44505951 53 102
112  54.69886926  011.44532069  54.69885864  011.44556314
113  54.69886926  011.44532069
110 1 0.00 95.5000 Main Ramp Asphalt
111  54.69807816  011.44598232 53 102
111  54.69813714  011.44512448
111  54.69805847  011.44477515 53 102
111  54.69780057  011.44472502 53 102
111  54.69774003  011.44565836 53 102
111  54.69773860  011.44567864 53 102
113  54.69771808  011.44593142
110 2 1.00 6.0000 Old Hangars 3
111  54.69737072  011.44415506
111  54.69726065  011.44413253
111  54.69726933  011.44400596
111  54.69720076  011.44399209
111  54.69719623  011.44405585
111  54.69707144  011.44402997
111  54.69707576  011.44397717
