I
1130 Generated by WorldEditor 2.1.0r1

1    639 1 0 EDRK Koblenz - Winningen
1302 city Koblenz
1302 country Germany
1302 datum_lat 50.3255
1302 datum_lon 7.528666667
1302 faa_code 
1302 gui_label 3D
1302 iata_code ZNV
1302 icao_code EDRK
1302 region_code ED
1302 state Rhineland-Palatinate
1302 transition_alt 
1302 transition_level 
100 20.00 1 0 0.00 0 1 0 06  50.32223591  007.52074200  220    0 1 0 0 0 24  50.32812000  007.53499000    0    0 1 0 0 0
102 H1  50.32424879  007.52845628 146.65 5.50 5.70 2 0 0 0.00 0
102 H2  50.32414980  007.52823268 145.27 5.30 5.70 2 0 0 0.00 0
102 H3  50.32405967  007.52802378 143.98 5.50 5.70 2 0 0 0.00 0
110 1 0.00 0.0000 New Taxiway 17
111  50.32360120  007.52641025
111  50.32340897  007.52661579
111  50.32343166  007.52666516
113  50.32362759  007.52646432
110 2 0.00 0.0000 concrete apron
111  50.32358380  007.52676151
111  50.32340641  007.52694974
111  50.32360226  007.52740916
111  50.32358053  007.52744306
111  50.32365211  007.52759999
111  50.32375363  007.52782552
111  50.32368903  007.52791515
111  50.32405453  007.52881146
111  50.32424097  007.52863220
111  50.32422436  007.52859461
111  50.32432035  007.52847896
112  50.32434804  007.52858304  50.32434250  007.52863220
111  50.32431850  007.52864665
111  50.32398623  007.52895892
111  50.32420257  007.52944606
111  50.32418046  007.52947300
111  50.32459379  007.53024694
111  50.32535641  007.53168370
111  50.32547512  007.53161047
111  50.32569815  007.53203306
111  50.32583125  007.53189220
111  50.32584945  007.53189228
111  50.32584945  007.53196535
111  50.32590745  007.53196338
111  50.32590619  007.53179749
111  50.32592078  007.53177707
111  50.32579488  007.53148446
111  50.32565654  007.53161975
111  50.32542833  007.53106283
112  50.32544220  007.53092459  50.32545860  007.53086139
111  50.32552888  007.53088015
111  50.32545374  007.53070840
112  50.32541320  007.53078437  50.32538547  007.53081400
111  50.32536655  007.53082190
111  50.32501857  007.53004972
111  50.32512885  007.52994189
111  50.32509230  007.52985919
111  50.32488870  007.53007737
111  50.32477901  007.52981669
111  50.32482314  007.52976929
111  50.32472858  007.52953429
111  50.32486348  007.52939012
111  50.32488792  007.52938814
111  50.32482829  007.52924693
111  50.32482062  007.52928150
111  50.32467814  007.52941974
