I
1130 Generated by WorldEditor 2.0.0r4

1   1607 1 0 EDMD Dachau-Gröbenried
1302 city Dachau
1302 country Germany
1302 datum_lat 48.2285
1302 datum_lon 11.423166667
1302 faa_code 
1302 iata_code 
1302 icao_code EDMD
1302 region_code ED
1302 state Bavaria
1302 transition_alt 
1302 transition_level 
100 28.00 3 0 0.00 0 0 0 10  48.22913921  011.41867314    0    0 0 0 0 0 28  48.22805834  011.42692080    0    0 0 0 0 0
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.22909203  011.42005817
111  48.22908834  011.42008571
111  48.22909404  011.42008715
113  48.22909760  011.42005955
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.22891252  011.42141585
111  48.22890883  011.42144339
111  48.22891453  011.42144482
113  48.22891809  011.42141723
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.22873450  011.42277925
111  48.22873081  011.42280679
111  48.22873651  011.42280823
113  48.22874006  011.42278063
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.22855647  011.42414265
111  48.22855278  011.42417019
111  48.22855848  011.42417162
113  48.22856204  011.42414403
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.22837350  011.42552584
111  48.22836981  011.42555338
111  48.22837551  011.42555481
113  48.22837907  011.42552722
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.22917901  011.41938293
111  48.22917532  011.41941047
111  48.22918102  011.41941190
113  48.22918457  011.41938431
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.22899806  011.42076492
111  48.22899437  011.42079246
111  48.22900007  011.42079390
113  48.22900362  011.42076630
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.22881855  011.42212260
111  48.22881486  011.42215014
111  48.22882055  011.42215157
113  48.22882411  011.42212398
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.22864052  011.42348600
111  48.22863683  011.42351354
111  48.22864253  011.42351498
113  48.22864609  011.42348738
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.22846250  011.42484940
111  48.22845881  011.42487694
111  48.22846450  011.42487837
113  48.22846806  011.42485078
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.22827953  011.42623259
111  48.22827584  011.42626013
111  48.22828154  011.42626156
113  48.22828509  011.42623397
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.22883267  011.41998063
111  48.22882898  011.42000817
111  48.22883468  011.42000960
113  48.22883823  011.41998201
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.22865316  011.42133831
111  48.22864947  011.42136585
111  48.22865517  011.42136728
113  48.22865872  011.42133969
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.22847513  011.42270171
111  48.22847144  011.42272925
111  48.22847714  011.42273068
113  48.22848070  011.42270309
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.22829711  011.42406511
111  48.22829342  011.42409265
111  48.22829912  011.42409408
113  48.22830267  011.42406649
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.22811414  011.42544829
111  48.22811045  011.42547584
111  48.22811615  011.42547727
113  48.22811970  011.42544967
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.22891964  011.41930538
111  48.22891595  011.41933293
111  48.22892165  011.41933436
113  48.22892521  011.41930676
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.22873869  011.42068738
111  48.22873500  011.42071492
111  48.22874070  011.42071635
113  48.22874426  011.42068876
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.22855918  011.42204505
111  48.22855549  011.42207259
111  48.22856119  011.42207403
113  48.22856475  011.42204644
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.22838116  011.42340846
111  48.22837747  011.42343600
111  48.22838316  011.42343743
113  48.22838672  011.42340984
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.22820313  011.42477185
111  48.22819944  011.42479940
111  48.22820514  011.42480083
113  48.22820870  011.42477323
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.22802016  011.42615504
111  48.22801647  011.42618258
111  48.22802217  011.42618402
113  48.22802573  011.42615642
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.22794223  011.42690489
111  48.22794294  011.42689553
111  48.22793188  011.42689296
111  48.22793365  011.42687650
111  48.22792678  011.42687424
113  48.22792439  011.42690020
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.22925503  011.41869296
111  48.22925428  011.41870232
111  48.22926533  011.41870501
111  48.22926347  011.41872145
111  48.22927033  011.41872378
113  48.22927285  011.41869785
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.22819301  011.42695078
111  48.22818679  011.42694942
111  48.22818471  011.42696592
111  48.22817381  011.42696271
