I
1000 Generated by WorldEditor 2.2.0r2

1   1501 1 0 EDFU Mainbullau
1302 city Miltenberg
1302 country Germany
1302 datum_lat 49.695
1302 datum_lon 9.182
1302 faa_code 
1302 iata_code 
1302 icao_code EDFU
1302 region_code ED
1302 state Bavaria
1302 transition_alt 5000
1302 transition_level 
100 10.00 1 0 0.00 0 1 0 05  49.69313700  009.17855700   20    0 1 0 0 0 23  49.69693548  009.18614352    0    0 1 0 0 0
110 1 0.25 0.0000 asphalt_2L.pol
111  49.69312640  009.18062471
111  49.69315239  009.18067977
111  49.69317117  009.18065931
111  49.69318368  009.18068740
111  49.69319800  009.18066898
113  49.69316214  009.18059328
110 1 0.25 0.0000 asphalt_6L.pol
111  49.69321403  009.17882455
111  49.69328490  009.17873897
111  49.69327498  009.17871933
113  49.69320410  009.17880491
110 1 0.25 0.0000 asphalt_6L.pol
111  49.69689931  009.18618445
111  49.69697019  009.18609886
111  49.69696026  009.18607921
113  49.69688939  009.18616480
110 1 0.25 52.0000 asphalt_3D.pol
111  49.69301509  009.17851699
112  49.69308167  009.17852792  49.69311823  009.17855309
111  49.69311190  009.17858770
111  49.69315353  009.17853819
112  49.69313235  009.17850439  49.69312223  009.17848453
111  49.69313985  009.17845768
111  49.69339291  009.17833676
111  49.69338404  009.17829687
111  49.69262332  009.17866474
111  49.69263109  009.17870374
111  49.69264802  009.17874010
111  49.69267649  009.17888372
111  49.69268493  009.17887932
111  49.69265713  009.17873559
113  49.69265624  009.17869151
110 1 0.25 60.0000 asphalt_6D.pol
111  49.69335414  009.18014510
111  49.69327813  009.18023608
111  49.69320756  009.18009619
111  49.69318713  009.18012365
111  49.69316175  009.18010321
111  49.69312301  009.18004950
111  49.69312140  009.18005885
111  49.69314153  009.18008676
111  49.69300536  009.18024146
111  49.69302243  009.18027579
111  49.69297473  009.18034834
111  49.69305848  009.18052551
111  49.69310711  009.18046925
111  49.69310227  009.18045861
111  49.69322716  009.18031166
111  49.69323343  009.18031354
113  49.69336146  009.18015970
110 1 0.25 0.0000 asphalt_3D.pol
111  49.69346209  009.18080409
111  49.69336598  009.18060755
111  49.69327440  009.18070715
112  49.69328440  009.18072947  49.69329293  009.18074843
112  49.69323614  009.18078935  49.69319889  009.18078383
