I
1130 Generated by WorldEditor 2.2.0r2

1    130 1 0 EDAZ Schonhagen
1302 city Trebbin
1302 country Germany
1302 datum_lat 52.208000000
1302 datum_lon 13.156500000
1302 faa_code 
1302 gui_label 3D
1302 iata_code QXH
1302 icao_code EDAZ
1302 region_code ED
1302 state Brandenburg
1302 transition_alt 
1302 transition_level 
100 23.00 1 0 0.00 1 1 0 07  52.20218993  013.14906437  171    0 2 8 0 2 25  52.20561602  013.17107662  281    0 2 8 0 0
100 18.00 1 0 0.00 1 0 0 12  52.20923857  013.15505333    0    0 1 0 0 0 30  52.20551616  013.16331051    0    0 1 0 0 0
100 40.00 3 0 0.00 0 0 0 12R  52.20947407  013.15294795    0    0 1 0 0 0 30L  52.20538679  013.16204441    0    0 1 0 0 0
110 2 0.25 121.0000 concrete_3D.pol
111  52.20532653  013.15100221
111  52.20486468  013.15227196
111  52.20487336  013.15228036
113  52.20533520  013.15101061
110 2 0.25 121.0000 concrete_3D.pol
111  52.20417103  013.14910565
111  52.20521627  013.15010257
111  52.20522218  013.15008608
113  52.20417694  013.14908915
110 2 0.25 256.0000 concrete_3L.pol
111  52.20779844  013.15222423
111  52.20863256  013.15186965
111  52.20857659  013.15150149
113  52.20773988  013.15185044
110 2 0.25 167.0000 concrete_3L.pol
111  52.20481793  013.15263612
111  52.20480319  013.15264189
112  52.20480319  013.15264189  52.20479934  013.15264356
112  52.20479679  013.15265582  52.20479781  013.15266168
111  52.20479679  013.15265582
111  52.20482121  013.15281089
111  52.20483413  013.15289293
112  52.20483413  013.15289293  52.20483712  013.15291145
112  52.20485826  013.15291936  52.20486901  013.15291487
111  52.20485826  013.15291936
111  52.20502674  013.15284955
111  52.20498578  013.15258725
111  52.20496977  013.15259385
111  52.20495439  013.15249734
111  52.20505770  013.15245410
111  52.20486843  013.15226696
111  52.20486334  013.15228193
111  52.20486856  013.15228696
111  52.20484972  013.15233839
111  52.20484478  013.15233358
111  52.20482627  013.15238459
111  52.20476959  013.15240832
111  52.20478523  013.15250577
111  52.20479682  013.15250066
111  52.20479903  013.15251252
111  52.20480484  013.15251021
111  52.20481082  013.15254746
113  52.20480488  013.15254999
110 2 0.25 75.0000 concrete_1D.pol
111  52.20360935  013.15264450
111  52.20360507  013.15264636
111  52.20380101  013.15390746
113  52.20380536  013.15390566
110 2 0.25 75.0000 concrete_1D.pol
111  52.20336338  013.15106460
111  52.20335910  013.15106645
111  52.20350026  013.15197263
113  52.20350460  013.15197083
110 2 0.25 345.0000 concrete_1D.pol
111  52.20392425  013.15106871
111  52.20392538  013.15107569
111  52.20421677  013.15095340
113  52.20421568  013.15094631
110 2 0.25 75.0000 concrete_1D.pol
111  52.20364295  013.15118905
111  52.20363865  013.15119077
111  52.20373093  013.15178617
113  52.20373567  013.15178424
110 2 0.25 75.0000 concrete_1D.pol
111  52.20562646  013.15014741
111  52.20562218  013.15014927
111  52.20567986  013.15054256
113  52.20568420  013.15054076
110 2 0.25 75.0000 concrete_1D.pol
111  52.20385576  013.15258418
111  52.20385149  013.15258604
111  52.20396948  013.15334243
113  52.20397382  013.15334063
110 2 0.25 75.0000 concrete_1D.pol
111  52.20413686  013.15246602
111  52.20413200  013.15246800
111  52.20424485  013.15321766
113  52.20424919  013.15321586
110 2 0.25 75.0000 concrete_1D.pol
111  52.20380507  013.15033223
111  52.20401344  013.15167113
