I
1130 Generated by WorldEditor 2.0.0r4

1   1456 1 0 EDMG Günzburg-Donauried
1302 city Günzburg
1302 country Germany
1302 datum_lat 48.487222222
1302 datum_lon 10.283333333
1302 faa_code 
1302 iata_code 
1302 icao_code EDMG
1302 region_code ED
1302 state Bavaria
1302 transition_alt 
1302 transition_level 
100 30.00 3 0 0.00 0 0 0 06  48.48499769  010.27900891    0    0 0 0 0 0 24  48.48742532  010.28559678    0    0 0 0 0 0
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.48542832  010.27962540
111  48.48543319  010.27963847
111  48.48544361  010.27962917
113  48.48543840  010.27961559
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.48564406  010.28024951
111  48.48564893  010.28026257
111  48.48565936  010.28025328
113  48.48565414  010.28023970
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.48587242  010.28088289
111  48.48587729  010.28089595
111  48.48588772  010.28088665
113  48.48588250  010.28087307
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.48607703  010.28145397
111  48.48608190  010.28146703
111  48.48609233  010.28145774
113  48.48608711  010.28144416
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.48655996  010.28278479
111  48.48656483  010.28279785
111  48.48657525  010.28278855
113  48.48657004  010.28277497
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.48674799  010.28330211
111  48.48675286  010.28331518
111  48.48676328  010.28330588
113  48.48675807  010.28329230
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.48695083  010.28387345
111  48.48695570  010.28388652
111  48.48696612  010.28387722
113  48.48696091  010.28386364
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.48723058  010.28464741
111  48.48723545  010.28466047
111  48.48724587  010.28465118
113  48.48724066  010.28463759
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.48511190  010.27985171
111  48.48511676  010.27986477
111  48.48512719  010.27985548
113  48.48512198  010.27984190
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.48534640  010.28048290
111  48.48535127  010.28049596
111  48.48536169  010.28048666
113  48.48535648  010.28047308
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.48558467  010.28112099
111  48.48558953  010.28113405
111  48.48559996  010.28112476
113  48.48559475  010.28111117
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.48580801  010.28172033
111  48.48581287  010.28173339
111  48.48582330  010.28172410
113  48.48581809  010.28171052
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.48630550  010.28305219
111  48.48631037  010.28306526
111  48.48632079  010.28305596
113  48.48631558  010.28304238
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.48647522  010.28351426
111  48.48648009  010.28352732
111  48.48649051  010.28351803
113  48.48648530  010.28350444
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.48670629  010.28411323
111  48.48671116  010.28412629
111  48.48672158  010.28411700
113  48.48671637  010.28410341
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.48696207  010.28479753
111  48.48696693  010.28481060
111  48.48697736  010.28480130
113  48.48697215  010.28478772
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.48515039  010.27886316
111  48.48515499  010.27887373
111  48.48518098  010.27885249
113  48.48517682  010.27884070
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.48630295  010.28210858
111  48.48630755  010.28211915
111  48.48633354  010.28209791
113  48.48632937  010.28208612
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.48753086  010.28549286
111  48.48753546  010.28550342
111  48.48756145  010.28548219
113  48.48755729  010.28547040
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.48483227  010.27915204
111  48.48483687  010.27916261
111  48.48486287  010.27914137
113  48.48485870  010.27912958
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.48602146  010.28232032
111  48.48602606  010.28233089
111  48.48605205  010.28230966
113  48.48604788  010.28229786
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.48729058  010.28571266
111  48.48729518  010.28572323
111  48.48732117  010.28570200
113  48.48731700  010.28569020
110 1 0.25 0.0000 lib/airport/pavement/asphalt_1D.pol
111  48.48614776  010.28358414
111  48.48640095  010.28429867
111  48.48638866  010.28431215
111  48.48631269  010.28412336
111  48.48598198  010.28451443
111  48.48612387  010.28485325
111  48.48644900  010.28457006
111  48.48642888  010.28448915
111  48.48646169  010.28446631
111  48.48660764  010.28488359
111  48.48656631  010.28492405
111  48.48675462  010.28531580
111  48.48702694  010.28610541
112  48.48706381  010.28627230  48.48706135  010.28632236
111  48.48705453  010.28637826
111  48.48716355  010.28627953
112  48.48710791  010.28624329  48.48709897  010.28623318
111  48.48708024  010.28618514
111  48.48649255  010.28443008
113  48.48617824  010.28356347
110 1 0.00 0.0000 New Taxiway 16
111  48.48561379  010.28206650
111  48.48563391  010.28211988
111  48.48566929  010.28209058
113  48.48564847  010.28203511
110 1 0.00 0.0000 New Taxiway 12
111  48.48472453  010.27928746
111  48.48474240  010.27934140
111  48.48477592  010.27931611
113  48.48475581  010.27926217
110 1 0.00 0.0000 New Taxiway 11
111  48.48606686  010.28321170 20
111  48.48610195  010.28331618 20
111  48.48617120  010.28325907 20
113  48.48613427  010.28315876 20
110 1 0.00 0.0000 New Taxiway 10
111  48.48758511  010.28553641
111  48.48760022  010.28558328
111  48.48763631  010.28555541
113  48.48761784  010.28550982
110 1 0.00 0.0000 New Taxiway 9
111  48.48720542  010.28561390
111  48.48715626  010.28565604
111  48.48712162  010.28556839
111  48.48706911  010.28560378
111  48.48715291  010.28582461
111  48.48720318  010.28577572
111  48.48718084  010.28571841
113  48.48722665  010.28567121
110 1 0.00 0.0000 New Taxiway 8
111  48.48706911  010.28526496
111  48.48692164  010.28538970
111  48.48697526  010.28553804
113  48.48712162  010.28539476
110 1 0.00 0.0000 New Taxiway 7
111  48.48670824  010.28483849
111  48.48689035  010.28530373
111  48.48703113  010.28515202
113  48.48685125  010.28470532
110 1 0.00 0.0000 New Taxiway 6
111  48.48653171  010.28448282
111  48.48656970  010.28459744
111  48.48664232  010.28453339
113  48.48660210  010.28442045
110 1 0.00 0.0000 New Taxiway 4
111  48.48537209  010.28163574
111  48.48494063  010.28199287
111  48.48494902  010.28201187
111  48.48508837  010.28237027
111  48.48517544  010.28267366
111  48.48521558  010.28264422
111  48.48524391  010.28274656
111  48.48546935  010.28335576
111  48.48557782  010.28347470
111  48.48564749  010.28368423
111  48.48602958  010.28337800
112  48.48607419  010.28340452  48.48609177  010.28342491
111  48.48612827  010.28353505
111  48.48601066  010.28363091
111  48.48595252  010.28349630
111  48.48587141  010.28355545
111  48.48600930  010.28391442
111  48.48607960  010.28383284
111  48.48603093  010.28368802
111  48.48614314  010.28358808
111  48.48617824  010.28356347
111  48.48617362  010.28355372
111  48.48621609  010.28351610
111  48.48620040  010.28347292
111  48.48615792  010.28350635
111  48.48596863  010.28295886
111  48.48578060  010.28245881
111  48.48568456  010.28219761
111  48.48560750  010.28226267
111  48.48559365  010.28223620
111  48.48525016  010.28251482
111  48.48522708  010.28250228
111  48.48516838  010.28228118
113  48.48550288  010.28198853
111  48.48593049  010.28298363
111  48.48556615  010.28328234
111  48.48545800  010.28289481
111  48.48548012  010.28287813
111  48.48546906  010.28282250
113  48.48577508  010.28256662
110 5 0.00 0.0000 New Taxiway 3
111  48.48494902  010.28201187
112  48.48493449  010.28205397  48.48493449  010.28207849
111  48.48494364  010.28210607
112  48.48516709  010.28279870  48.48518537  010.28283395
112  48.48521686  010.28289218  48.48522701  010.28291516
112  48.48547331  010.28370215  48.48552279  010.28378576
111  48.48563759  010.28406348
111  48.48573656  010.28398285
111  48.48564749  010.28368423
111  48.48557782  010.28347470
111  48.48546935  010.28335576
111  48.48524391  010.28274656
112  48.48518121  010.28267235  48.48516228  010.28263360
113  48.48508837  010.28237027
110 5 0.00 0.0000 New Taxiway 2
111  48.48464073  010.28219273
112  48.48463714  010.28227476  48.48466354  010.28232305
111  48.48469451  010.28227846
114  48.48469605  010.28219355  48.48466964  010.28215677
110 3 0.00 350.0000 New Taxiway 1
111  48.48528185  010.27897273
112  48.48525805  010.27887851  48.48525805  010.27883139
112  48.48519708  010.27856441  48.48514355  010.27853749
111  48.48507217  010.27858460
111  48.48462010  010.27898171
112  48.48458441  010.27908042  48.48459185  010.27914100
112  48.48491305  010.27977816  48.48495618  010.27988809
111  48.48541697  010.28118328
112  48.48536135  010.28137825  48.48530083  010.28146216
112  48.48464325  010.28197794  48.48462034  010.28195573
111  48.48387934  010.28002094
112  48.48375993  010.27989508  48.48371249  010.27996418
111  48.48382699  010.28014680
111  48.48454346  010.28200755
112  48.48460399  010.28235799  48.48464979  010.28241228
112  48.48482645  010.28230863  48.48486244  010.28233825
112  48.48497593  010.28265375  48.48502071  010.28265772
111  48.48558185  010.28345263
111  48.48575159  010.28410084
111  48.48648197  010.28445281
111  48.48707935  010.28615769
112  48.48712973  010.28623642  48.48716752  010.28623370
111  48.48778110  010.28565274
112  48.48780809  010.28538397  48.48775771  010.28524823
111  48.48768753  010.28528895
114  48.48745362  010.28497404  48.48743562  010.28493603
130 Airport Boundary 1
111  48.48530721  010.27837243
111  48.48405582  010.27942819
111  48.48356944  010.28009765
111  48.48463783  010.28283361
111  48.48501040  010.28272615
111  48.48562036  010.28413124
111  48.48611604  010.28486361
111  48.48644943  010.28462267
111  48.48704549  010.28636781
111  48.48787704  010.28557160
113  48.48784904  010.28529212
14  48.48603426  010.28323884  29.53 0 New Tower Viewpoint 2
1300  48.48571396  010.28230577  62.64 misc props Ramp start
1301 B none 
1300  48.48669486  010.28462562 335.36 misc props Gras start 1
1301 B none 
1300  48.48579938  010.28280410 335.36 misc props Gras start 2
1301 B none 
1300  48.48553835  010.28213030 335.36 misc props Gras start 3
1301 B none 
19  48.48651788  010.28172969 0 New Windsock 3
19  48.48467887  010.28268621 0 New Windsock 1
1054 118125 Guenzburg Info
99
