I
1130 Generated by WorldEditor 2.0.0r4

1    918 1 0 EDTQ Pattonville
1302 city Pattonville
1302 country Germany
1302 datum_lat 48.863888889
1302 datum_lon 9.224166667
1302 faa_code 
1302 iata_code 
1302 icao_code EDTQ
1302 region_code ED
1302 state Baden-Württemberg
1302 transition_alt 
1302 transition_level 
100 20.00 1 0 0.00 0 0 0 10  48.86491400  009.22022400    0    0 1 0 0 0 28  48.86351000  009.22913400    0    0 1 0 0 0
100 35.00 3 0 0.00 0 0 0 10R  48.86473254  009.21888763    0    0 0 0 0 0 28L  48.86306255  009.22951987    0    0 0 0 0 0
102 H1  48.86539547  009.22043472  12.70 14.80 15.60 15 0 0 0.00 0
102 H4  48.86488351  009.22040293 103.41 29.40 29.90 15 0 0 0.00 0
110 1 0.25 0.0000 lib/airport/pavement/asphalt_1D.pol
111  48.86537556  009.22039494
111  48.86536804  009.22043575
112  48.86537019  009.22044554  48.86537234  009.22045207
111  48.86537502  009.22045126
111  48.86540025  009.22046187
112  48.86540723  009.22046023  48.86540992  009.22045779
111  48.86541099  009.22045289
111  48.86541904  009.22040555
112  48.86541743  009.22039657  48.86541582  009.22039331
111  48.86541099  009.22039249
111  48.86538576  009.22038363
114  48.86537965  009.22038475  48.86537670  009.22038720
110 1 0.25 0.0000 lib/airport/pavement/asphalt_1D.pol
111  48.86356638  009.23016600
111  48.86371129  009.23023259
111  48.86373320  009.23009940
111  48.86365801  009.22986666
113  48.86362004  009.22988205
110 1 0.25 0.0000 lib/airport/pavement/asphalt_1D.pol
111  48.86522173  009.22269488
111  48.86522143  009.22248962
111  48.86516826  009.22275711
111  48.86500875  009.22268013
111  48.86493912  009.22273401
111  48.86487359  009.22322622
111  48.86498082  009.22326643
111  48.86502398  009.22322198
111  48.86506715  009.22309497
111  48.86511728  009.22309920
113  48.86516742  009.22291715
110 1 0.25 0.0000 lib/airport/pavement/asphalt_1D.pol
111  48.86553529  009.22019154
111  48.86550678  009.22036255
111  48.86561554  009.22040446
111  48.86569296  009.22049070
111  48.86575510  009.22050295
111  48.86576661  009.22043472
111  48.86580574  009.22044872
111  48.86581840  009.22038748
111  48.86582876  009.22038224
113  48.86583911  009.22030876
110 1 0.00 0.0000 New Taxiway 26
111  48.86482143  009.22299525 20
111  48.86480241  009.22311092 20
111  48.86487763  009.22313984 20
113  48.86489493  009.22302417 20
110 1 0.00 0.0000 New Taxiway 18
111  48.86361576  009.22899921
111  48.86359045  009.22915124
111  48.86365248  009.22915509
111  48.86383477  009.22925900
112  48.86368460  009.22965884  48.86362257  009.22972619
112  48.86347065  009.22969732  48.86344913  009.22964921
112  48.86353648  009.22914503  48.86354534  009.22913734
111  48.86354788  009.22913541
111  48.86346306  009.22910655
112  48.86347572  009.22917582  48.86347572  009.22919891
112  48.86339217  009.22962997  48.86335672  009.22967423
112  48.86284907  009.22963767  48.86279590  009.22962419
112  48.86238700  009.22941637  48.86233636  009.22940482
112  48.86207177  009.22937596  48.86203506  009.22935864
111  48.86182112  009.22923356
111  48.86178567  009.22883331
111  48.86180719  009.22858123
111  48.86169705  009.22856006
111  48.86167173  009.22880252
111  48.86174896  009.22884101
111  48.86176921  009.22919892
111  48.86165528  009.22912772
111  48.86167933  009.22891221
111  48.86150463  009.22886987
111  48.86147804  009.22900842
111  48.86134259  009.22901034
111  48.86132993  009.22921047
112  48.86146918  009.22923548  48.86152235  009.22925280
112  48.86180466  009.22938750  48.86186163  009.22941444
111  48.86208950  009.22948756
112  48.86239206  009.22949142  48.86244903  009.22951066
112  48.86289464  009.22972426  48.86296427  009.22973965
112  48.86336685  009.22974350  48.86346179  009.22976659
112  48.86357953  009.22981663  48.86359472  009.22983587
111  48.86362004  009.22988205
111  48.86365801  009.22986666
112  48.86366814  009.22977814  48.86368713  009.22973580
112  48.86375803  009.22963574  48.86378461  009.22958186
111  48.86387323  009.22933169
111  48.86398337  009.22947602
111  48.86402641  009.22951066
