I
1130 Generated by WorldEditor 2.0.0r4

1   1223 1 0 EDRB Bitburg
1302 city Bitburg
1302 country Germany
1302 datum_lat 49.945333333
1302 datum_lon 6.565
1302 faa_code 
1302 iata_code BBJ
1302 icao_code EDRB
1302 region_code ED
1302 state Rhineland-Palatinate
1302 transition_alt 
1302 transition_level 
100 45.00 1 0 0.00 1 3 1 05  49.93788500  006.54896400    0  298 3 7 0 0 23  49.95084500  006.57752400    0  341 3 7 0 0
110 2 0.00 0.0000 New Taxiway 9
111  49.93674587  006.54591364
112  49.93670840  006.54568080  49.93670372  006.54559349
111  49.93671074  006.54548071
111  49.93678802  006.54400731
112  49.93688402  006.54349798  49.93696598  006.54321785
111  49.93713926  006.54299230
111  49.93761461  006.54249387
111  49.93786984  006.54240292
112  49.93798224  006.54204639  49.93795180  006.54180991
111  49.93775745  006.54179900
111  49.93769188  006.54182446
111  49.93746474  006.54227922
111  49.93705964  006.54270851
112  49.93673884  006.54325422  49.93661708  006.54359256
111  49.93658898  006.54401093
113  49.93652236  006.54541901
110 2 0.00 0.0000 New Taxiway 8
111  49.93904477  006.54674350
111  49.93921147  006.54652124
111  49.93922586  006.54641688
111  49.93926744  006.54635724
111  49.93922746  006.54627275
111  49.93914589  006.54634978
111  49.93909951  006.54628517
113  49.93892785  006.54647271
110 2 0.00 0.0000 New Taxiway 6
111  49.93844082  006.54967342
111  49.93858790  006.54998613
111  49.93875820  006.54980272
111  49.93878529  006.54985684
111  49.93892269  006.54970349
111  49.93895946  006.54972454
111  49.93901171  006.54985383
111  49.93892269  006.54995606
111  49.93914911  006.55046721
111  49.93937166  006.55031988
111  49.94002383  006.54961629
111  49.93962130  006.54874130
111  49.93973742  006.54862704
111  49.93988837  006.54852481
111  49.93989998  006.54858795
111  49.93997351  006.54855488
111  49.93998319  006.54844363
111  49.93980902  006.54809784
111  49.93988837  006.54811588
111  49.93995610  006.54808882
111  49.94001425  006.54801948
111  49.93993674  006.54798057
111  49.93989804  006.54789939
111  49.93993481  006.54760171
111  49.93981096  006.54755060
111  49.93977612  006.54782723
112  49.93972581  006.54790240  49.93970645  006.54791142
111  49.93963679  006.54789939
111  49.93965807  006.54798959
111  49.93946173  006.54818656
111  49.93866918  006.54905100
111  49.93855887  006.54961327
113  49.93851436  006.54967340
110 2 0.00 0.0000 New Taxiway 5
111  49.94362003  006.55517759
111  49.94374125  006.55505551
111  49.94377996  006.55500740
111  49.94399477  006.55477886
111  49.94379351  006.55426164
111  49.94375867  006.55428570
111  49.94329615  006.55329037
111  49.94313166  006.55348583
111  49.94294007  006.55307386
113  49.94276191  006.55328830
110 2 0.00 0.0000 New Taxiway 4
111  49.94585501  006.56021048
111  49.94650483  006.55946199
111  49.94635471  006.55910979
111  49.94630062  006.55905776
111  49.94622335  006.55906576
111  49.94617699  006.55899371
111  49.94613577  006.55902573
111  49.94616926  006.55910979
111  49.94617441  006.55917383
111  49.94614093  006.55918183
111  49.94557941  006.55785700
111  49.94561547  006.55782498
111  49.94555560  006.55767567
111  49.94560358  006.55760608
111  49.94557959  006.55753152
111  49.94564676  006.55742962
111  49.94545324  006.55700464
111  49.94549482  006.55695494
111  49.94507026  006.55602403
111  49.94497660  006.55612591
111  49.94492743  006.55601312
111  49.94474946  006.55560923
111  49.94468583  006.55566856
111  49.94449423  006.55524174
111  49.94437480  006.55538364
111  49.94455979  006.55576569
111  49.94411723  006.55629692
112  49.94408248  006.55630835  49.94406265  006.55630630
111  49.94403437  006.55628409
111  49.94477408  006.55791209
111  49.94485729  006.55785194
111  49.94492503  006.55801433
111  49.94494244  006.55800230
111  49.94508178  006.55832406
111  49.94509726  006.55830602
111  49.94544947  006.55911194
113  49.94538754  006.55918411
110 2 0.00 0.0000 New Taxiway 3
111  49.94795169  006.56470808
111  49.94800297  006.56463741
111  49.94786648  006.56429197
111  49.94811554  006.56401866
111  49.94825307  006.56431888
111  49.94866938  006.56376742
111  49.94859073  006.56364350
111  49.94846401  006.56378949
111  49.94765456  006.56203079
111  49.94739239  006.56233296
111  49.94687569  006.56115146
111  49.94699148  006.56099698
111  49.94689208  006.56077630
111  49.94678175  006.56088834
111  49.94674679  006.56087646
111  49.94637647  006.56008218
113  49.94602473  006.56047414
110 2 0.00 0.0000 New Taxiway 2
111  49.95297829  006.57537992
111  49.95308630  006.57546298
111  49.95372790  006.57682772
111  49.95349140  006.57704244
111  49.95363424  006.57734814
111  49.95385669  006.57710794
111  49.95400890  006.57741001
112  49.95403700  006.57751191  49.95404402  006.57755922
111  49.95403934  006.57762837
111  49.95394333  006.57850545
111  49.95369648  006.57860838
111  49.95367949  006.57880450
111  49.95391289  006.57903314
112  49.95406041  006.57925878  49.95409320  006.57934976
111  49.95410725  006.57940436
112  49.95437887  006.58001212  49.95454747  006.58022321
111  49.95475587  006.58030691
111  49.95489871  006.58033603
112  49.95516566  006.58030328  49.95527805  006.58026688
111  49.95540684  006.58015406
111  49.95573339  006.57993216
111  49.95587048  006.57983743
111  49.95581726  006.57964878
111  49.95568234  006.57973379
111  49.95513536  006.58009652
112  49.95505635  006.58011949  49.95503506  006.58011949
111  49.95499887  006.58011949
111  49.95484773  006.58010295
112  49.95455396  006.57993091  49.95442198  006.57979195
111  49.95434747  006.57961659
111  49.95434322  006.57947432
111  49.95439644  006.57939823
111  49.95452203  006.57940815
111  49.95464763  006.57850161
111  49.95451777  006.57846852
111  49.95452629  006.57835934
111  49.95431341  006.57829648
112  49.95417930  006.57818729  49.95414737  006.57809135
111  49.95414737  006.57797224
111  49.95424104  006.57721127
111  49.95428361  006.57708224
111  49.95445817  006.57687711
111  49.95385148  006.57560665
113  49.95392834  006.57544427
110 2 0.00 0.0000 New Taxiway 1
111  49.95012850  006.57684733
111  49.95009725  006.57712748
111  49.95023852  006.57744026
112  49.95025787  006.57758762  49.95025013  006.57763875
111  49.95023078  006.57765980
111  49.94971020  006.57825227
111  49.94959796  006.57825829
111  49.94955345  006.57819212
111  49.94913157  006.57866128
111  49.94937154  006.57914548
111  49.94978761  006.57869737
111  49.94976632  006.57860715
111  49.94978374  006.57845076
111  49.95028690  006.57787935
112  49.95036431  006.57785529  49.95039334  006.57786130
111  49.95046494  006.57791844
111  49.95057331  006.57780717
111  49.95097971  006.57728988
111  49.95097971  006.57713650
111  49.95101648  006.57708838
111  49.95140933  006.57710041
111  49.95216393  006.57627246
111  49.95236697  006.57561393
111  49.95221825  006.57576204
111  49.95213842  006.57558449
111  49.95210032  006.57551280
111  49.95202611  006.57558449
111  49.95205763  006.57565978
