I
1130 Generated by WorldEditor 2.0.0r4

1   1482 1 0 EDDM Muenchen Franz-Josef-Strauss
1302 city Munich
1302 country Germany
1302 datum_lat 48.353783333
1302 datum_lon 11.786086111
1302 faa_code 
1302 iata_code MUC
1302 icao_code EDDM
1302 region_code ED
1302 state Bavaria
1302 transition_alt 5000
1302 transition_level 60
100 60.05 2 0 0.00 1 3 0 08L  48.36276700  011.76755000    0    0 3 2 1 2 26R  48.36688600  011.82117200    0    0 3 2 1 2
100 60.05 2 0 0.00 1 3 0 08R  48.34066900  011.75101700    0    0 3 2 1 2 26L  48.34479700  011.80461400    0    0 3 2 1 2
110 1 0.25 40.0000 lib/airport/lines/safety_area_red.pol
111  48.34986452  011.78004031
111  48.34998829  011.78005378
111  48.35000531  011.78002200
111  48.34994123  011.77988031
113  48.34985389  011.77989448
110 1 0.25 30.0000 lib/airport/lines/safety_area_red.pol
111  48.35032094  011.77996512
111  48.35047573  011.77998194
111  48.35049496  011.77993333
111  48.35040354  011.77980189
113  48.35030834  011.77981844
110 1 0.25 40.0000 lib/airport/lines/safety_area_red.pol
111  48.35080682  011.77983443
111  48.35092661  011.77989923
111  48.35095022  011.77986920
111  48.35091292  011.77974581
111  48.35085751  011.77963236
113  48.35079802  011.77971741
110 1 0.25 30.0000 lib/airport/lines/safety_area_red.pol
111  48.35119842  011.77979102
111  48.35123108  011.77983385
111  48.35125963  011.77982792
111  48.35128237  011.77966186
111  48.35124484  011.77960255
111  48.35121537  011.77960840
111  48.35122202  011.77970039
113  48.35119319  011.77970796
110 1 0.25 30.0000 lib/airport/lines/safety_area_red.pol
111  48.35435657  011.77924117
111  48.35439118  011.77928817
111  48.35441780  011.77928097
111  48.35445319  011.77913553
111  48.35439751  011.77898666
111  48.35440249  011.77905149
111  48.35437247  011.77905983
111  48.35437789  011.77914975
113  48.35434919  011.77915608
110 1 0.25 50.0000 lib/airport/lines/safety_area_red.pol
111  48.35582320  011.77880081
111  48.35577582  011.77886097
111  48.35578693  011.77899893
111  48.35592671  011.77902740
113  48.35595100  011.77898816
110 1 0.25 50.0000 lib/airport/lines/safety_area_red.pol
111  48.35642296  011.77894233
111  48.35643755  011.77891270
111  48.35630606  011.77871305
111  48.35626046  011.77877375
113  48.35626699  011.77885248
110 1 0.25 20.0000 lib/airport/lines/safety_area_red.pol
111  48.35691904  011.77886739
111  48.35693026  011.77881349
111  48.35684078  011.77860698
111  48.35675262  011.77875062
113  48.35676274  011.77887422
110 1 0.25 30.0000 lib/airport/lines/safety_area_red.pol
111  48.35830246  011.78250375
111  48.35829391  011.78237064
111  48.35827698  011.78239313
111  48.35820232  011.78241159
113  48.35821466  011.78255972
110 1 0.25 40.0000 lib/airport/lines/safety_area_red.pol
111  48.35785032  011.78261185
111  48.35784708  011.78257680
111  48.35779252  011.78245683
111  48.35772453  011.78257058
113  48.35773082  011.78264612
110 1 0.25 50.0000 lib/airport/lines/safety_area_red.pol
111  48.35738741  011.78270230
111  48.35737584  011.78251473
