I
1000 Generated by WorldEditor

1     42 1 0 EDCW Wismar-Müggenburg
100 40.00 3 0 0.00 0 0 0 08  53.91411477  011.49632884    0    0 0 0 0 0 26  53.91515283  011.50585250    0    0 0 0 0 0
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_6L.pol 
111  53.913911829  11.496387106 
111  53.913912832  11.496399097 
111  53.913936714  11.496393000 
113  53.913935564  11.496380693
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_6L.pol 
111  53.914001378  11.497219607 
111  53.914002382  11.497231598 
111  53.914018424  11.497227921 
113  53.914017512  11.497216420
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_6L.pol 
111  53.914065306  11.497772149 
111  53.914066310  11.497784140 
111  53.914082352  11.497780463 
113  53.914081439  11.497768963
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_6L.pol 
111  53.914129234  11.498364161 
111  53.914130237  11.498376152 
111  53.914146279  11.498372475 
113  53.914145367  11.498360974
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_6L.pol 
111  53.914201879  11.499017841 
111  53.914202882  11.499029832 
111  53.914218925  11.499026155 
113  53.914218012  11.499014655
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_6L.pol 
111  53.914271618  11.499673989 
111  53.914272622  11.499685980 
111  53.914288664  11.499682303 
113  53.914287751  11.499670803
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_6L.pol 
111  53.914357406  11.500434687 
111  53.914358409  11.500446679 
111  53.914374451  11.500443001 
113  53.914373539  11.500431501
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_6L.pol 
111  53.914423447  11.501058099 
111  53.914424450  11.501070091 
111  53.914440492  11.501066413 
113  53.914439580  11.501054913
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_6L.pol 
111  53.914498733  11.501757757 
111  53.914499737  11.501769748 
111  53.914515779  11.501766071 
113  53.914514866  11.501754570
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_6L.pol 
111  53.914580624  11.502448446 
111  53.914581628  11.502460437 
111  53.914597670  11.502456760 
113  53.914596757  11.502445259
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_6L.pol 
111  53.914646052  11.503149300 
111  53.914647633  11.503161110 
111  53.914663442  11.503155205 
113  53.914661545  11.503143931
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_6L.pol 
111  53.914724646  11.503801666 
111  53.914726227  11.503813477 
111  53.914742037  11.503807571 
113  53.914740139  11.503796297
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_6L.pol 
111  53.914795970  11.504472176 
111  53.914797551  11.504483987 
111  53.914813361  11.504478082 
113  53.914811464  11.504466808
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_6L.pol 
111  53.914873451  11.505242418 
111  53.914875032  11.505254228 
111  53.914890842  11.505248323 
113  53.914888945  11.505237049
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_6L.pol 
111  53.914309151  11.496270685 
111  53.914310432  11.496283333 
111  53.914334151  11.496276385 
113  53.914332540  11.496264250
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_6L.pol 
111  53.914390861  11.497106340 
111  53.914392142  11.497118255 
111  53.914408087  11.497113506 
113  53.914406476  11.497102104
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_6L.pol 
111  53.914454789  11.497658882 
111  53.914456070  11.497670797 
111  53.914472014  11.497666048 
113  53.914470404  11.497654646
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_6L.pol 
111  53.914518717  11.498250893 
111  53.914519998  11.498262808 
111  53.914535942  11.498258059 
113  53.914534331  11.498246658
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_6L.pol 
111  53.914591362  11.498904574 
111  53.914592643  11.498916489 
111  53.914608587  11.498911740 
113  53.914606976  11.498900338
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_6L.pol 
111  53.914661101  11.499560722 
111  53.914662382  11.499572637 
111  53.914678326  11.499567888 
113  53.914676716  11.499556486
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_6L.pol 
111  53.914746888  11.500321420 
111  53.914748170  11.500333335 
111  53.914764114  11.500328586 
113  53.914762503  11.500317184
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_6L.pol 
111  53.914812929  11.500944832 
111  53.914814211  11.500956747 
111  53.914830155  11.500951998 
113  53.914828544  11.500940597
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_6L.pol 
111  53.914888216  11.501644489 
111  53.914889497  11.501656404 
111  53.914905442  11.501651655 
113  53.914903831  11.501640254
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_6L.pol 
111  53.914970107  11.502335178 
111  53.914971388  11.502347093 
111  53.914987332  11.502342344 
113  53.914985722  11.502330943
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_6L.pol 
111  53.915046518  11.503054263 
111  53.915047799  11.503066177 
111  53.915063744  11.503061429 
113  53.915062133  11.503050027
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_6L.pol 
111  53.915125112  11.503706629 
111  53.915126393  11.503718544 
111  53.915142338  11.503713795 
113  53.915140727  11.503702393
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_6L.pol 
111  53.915193401  11.504359191 
111  53.915194982  11.504371002 
111  53.915210792  11.504365097 
113  53.915208895  11.504353823
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_6L.pol 
111  53.915270882  11.505129432 
111  53.915272463  11.505141243 
111  53.915288273  11.505135338 
113  53.915286376  11.505124064
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_6L.pol 
111  53.914935306  11.505914632 
111  53.914937046  11.505929674 
111  53.914961582  11.505922790 
113  53.914959778  11.505906366
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_6L.pol 
111  53.915346452  11.505770390 
111  53.915348192  11.505785432 
111  53.915372728  11.505778548 
113  53.915370925  11.505762124
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_1D.pol 
111  53.915783821  11.500632519 
111  53.915988504  11.500506105 
111  53.915952722  11.500306097 
111  53.915995615  11.500274582 
111  53.916019431  11.500279636 
111  53.915995615  11.500160011 
111  53.915982714  11.500198763 
111  53.915936074  11.500227405 
111  53.915791190  11.499534925 
113  53.915590610  11.499642832
110  2 0.00 0.0000 Polygon from DSF lib/airport/Common_Elements/Misc_Buildings/Cargo_Terminal.fac 
111  53.915469055  11.499950312 
111  53.915634720  11.499853139 
111  53.915599204  11.499673628 
113  53.915433823  11.499768556
110  2 0.00 0.0000 Polygon from DSF lib/airport/Common_Elements/Misc_Buildings/Cargo_Terminal.fac 
111  53.915518262  11.500198167 
111  53.915683928  11.500100995 
111  53.915648411  11.499921484 
113  53.915483031  11.500016412
110  2 0.00 0.0000 Polygon from DSF lib/airport/Common_Elements/Misc_Buildings/Cargo_Terminal.fac 
111  53.915565010  11.500441846 
111  53.915730675  11.500344673 
111  53.915695159  11.500165162 
113  53.915529778  11.500260090
110  2 0.00 0.0000 Polygon from DSF lib/airport/Common_Elements/Misc_Buildings/Cargo_Terminal.fac 
111  53.915661784  11.500940342 
111  53.915827450  11.500843170 
111  53.915791933  11.500663659 
113  53.915626553  11.500758587
110  2 0.00 0.0000 Polygon from DSF lib/airport/Common_Elements/Misc_Buildings/Cargo_Terminal.fac 
111  53.915613839  11.500687990 
111  53.915779504  11.500590818 
111  53.915743988  11.500411307 
113  53.915578607  11.500506235
110  2 0.00 0.0000 Polygon from DSF lib/airport/Common_Elements/Misc_Buildings/White_Office.fac 
111  53.916219755  11.502082007 
111  53.916282085  11.502372352 
111  53.916363592  11.502323509 
113  53.916302861  11.502030451
110 1 0.00 0.0000 New Taxiway 16
111  53.91503805  011.50318899
111  53.91504924  011.50329658
111  53.91509055  011.50328053
111  53.91508801  011.50325608
111  53.91519537  011.50321937
111  53.91527813  011.50320798
111  53.91526568  011.50315321
111  53.91518634  011.50317648
111  53.91508300  011.50320572
113  53.91507726  011.50317231
110 1 0.00 0.0000 New Taxiway 12
111  53.91423829  011.49653294
111  53.91426951  011.49696105
111  53.91430553  011.49695290
113  53.91427191  011.49652275
110 1 0.00 0.0000 New Taxiway 9
111  53.91556700  011.50096749
111  53.91565000  011.50092001
111  53.91566183  011.50097488
111  53.91567167  011.50096374
111  53.91562445  011.50072519
111  53.91578382  011.50063252
111  53.91559061  011.49964283
111  53.91541923  011.49974847
111  53.91542725  011.49979330
111  53.91539397  011.49980900
111  53.91540445  011.49986863
111  53.91537549  011.49988850
111  53.91539083  011.49997224
111  53.91536367  011.49998978
111  53.91545587  011.50048736
111  53.91555114  011.50043539
111  53.91556797  011.50052634
111  53.91548916  011.50057636
111  53.91551785  011.50072056
111  53.91559743  011.50067834
111  53.91561733  011.50077253
113  53.91553698  011.50082190
111  53.91552393  011.50028208
111  53.91547152  011.50031261
111  53.91545430  011.50029832
111  53.91543555  011.50020088
111  53.91544550  011.50017165
113  53.91549524  011.50014566
111  53.91543173  011.50011059
111  53.91541604  011.50009629
111  53.91539615  011.49997612
111  53.91545633  011.49994264
113  53.91548291  011.50008150
110 1 0.00 0.0000 New Taxiway 8
111  53.91579478  011.50122622
111  53.91576986  011.50110236
111  53.91572808  011.50112225
113  53.91575055  011.50125090
110 1 0.00 0.0000 New Taxiway 7
111  53.91597369  011.50117970
111  53.91601954  011.50115560
111  53.91599116  011.50100548
113  53.91594749  011.50102031
110 1 0.00 0.0000 New Taxiway 6
111  53.91591693  011.50173756
111  53.91595950  011.50171161
111  53.91593330  011.50155222
113  53.91588964  011.50156705
110 1 0.00 0.0000 New Taxiway 5
111  53.91612761  011.50209711
111  53.91615599  011.50226021
111  53.91620074  011.50225280
113  53.91617236  011.50207673
110 2 0.00 0.0000 New Taxiway 4
111  53.91575312  011.50236264
111  53.91582286  011.50265372
111  53.91603499  011.50251065
113  53.91597106  011.50222943
110 3 0.00 0.0000 New Taxiway 2
111  53.91637298  011.50234696
111  53.91606437  011.50081351
111  53.91568781  011.50100099
111  53.91543299  011.49973194
112  53.91516968  011.49981847  53.91515553  011.49986654
112  53.91524046  011.50034243  53.91522065  011.50037127
112  53.91493752  011.50048664  53.91492336  011.50046260
111  53.91464023  011.49808318
112  53.91456379  011.49776112  53.91452981  011.49771786
112  53.91448451  011.49759288  53.91446752  011.49754000
111  53.91437818  011.49670468
111  53.91433372  011.49616043
112  53.91401081  011.49598166  53.91388680  011.49614453
112  53.91390084  011.49643056  53.91392190  011.49655372
111  53.91441562  011.50122155
112  53.91438754  011.50144005  53.91441094  011.50155922
111  53.91446008  011.50161881
111  53.91491870  011.50596093
111  53.91498890  011.50686273
112  53.91509887  011.50694219  53.91519481  011.50688657
112  53.91524863  011.50641779  53.91532116  011.50629066
112  53.91551304  011.50596490  53.91555516  011.50570270
112  53.91543114  011.50511473  53.91537030  011.50496377
111  53.91526267  011.50473732
111  53.91500294  011.50234972
112  53.91498960  011.50220408  53.91499599  011.50216337
112  53.91532842  011.50209282  53.91536518  011.50210639
112  53.91550422  011.50272234  53.91553299  011.50276033
113  53.91583025  011.50270606
112  53.91488991  011.50107418  53.91490430  011.50106333
112  53.91519517  011.50163315  53.91519197  011.50167657
114  53.91496503  011.50171727  53.91493626  011.50169285
130 Airport Boundary 1
111  53.91523646  011.49536438
111  53.91499935  011.49524826
111  53.91401443  011.49537212
111  53.91333501  011.49562759
111  53.91407371  011.50420505
111  53.91420138  011.50617137
111  53.91419682  011.50747192
111  53.91416034  011.50808349
111  53.91508143  011.50733258
111  53.91529118  011.50701525
111  53.91544165  011.50645785
111  53.91571980  011.50604755
111  53.91573348  011.50552111
111  53.91566053  011.50483211
111  53.91587484  011.50426697
111  53.91581100  011.50359345
111  53.91657249  011.50319862
111  53.91529574  011.49681177
113  53.91524102  011.49598342
20  53.91488920  011.50124684 79.1100 0 3 {@Y}1/2{@@}{@Y}1/2
20  53.91440974  011.50140964 78.5200 0 3 {@Y}1/2{@@}{@Y}1/2
14  53.91560403  011.50104130  16.40 0 New Tower Viewpoint 1
1300  53.91544142  011.50041185 163.03 tie_down props Ramp start 1
1300  53.91549950  011.50065185 163.03 tie_down props Ramp start 2
1300  53.91593174  011.50169989  71.56 tie_down props Ramp start 3
1300  53.91577176  011.50121933  71.56 tie_down props Ramp start 4
19  53.91597120  011.50223032 0 New Windsock 21
54 12305 Wismar Info
1200 
1201  53.91518090  011.50075610 both 0 _stop
1201  53.91540851  011.50070915 both 1 _stop
1201  53.91535533  011.50044912 both 2 _start
1201  53.91568869  011.50210170 both 3 _stop
1201  53.91596735  011.50187778 both 4 _stop
1201  53.91611200  011.50183805 both 5 _stop
1201  53.91602054  011.50139382 both 6 _stop
1201  53.91580356  011.50134326 both 7 _start
1201  53.91540978  011.50531794 both 8 _stop
1201  53.91523707  011.50476513 both 9 _stop
1201  53.91495111  011.50217416 both 10 _stop
1201  53.91493978  011.50202514 both 11 _stop
1201  53.91497942  011.50195304 both 12 _stop
1201  53.91537297  011.50180883 both 13 _stop
1201  53.91488316  011.50071765 both 14 _stop
1201  53.91498095  011.50093668 both 15 _stop(split)
1201  53.91462551  011.49841995 both 16 _stop
1201  53.91447325  011.49762229 both 17 _stop
1201  53.91437417  011.49673773 both 18 _stop
1201  53.91432541  011.49629560 both 19 _stop
1201  53.91426212  011.49617025 both 20 _stop
1201  53.91415488  011.49608667 both 21 _stop
1201  53.91410038  011.49624785 both 22 _stop
1201  53.91543454  011.50593755 both 23 _stop
1201  53.91536610  011.50605783 both 24 _stop
1201  53.91520519  011.50603336 both 25 _stop
1201  53.91514795  011.50581798 both 26 _stop
1201  53.91412454  011.49640976 both 27 _start
1202 0 15 twoway taxiway 
1202 1 0 twoway taxiway 
1202 2 1 twoway taxiway 
1202 3 13 twoway taxiway 
1202 4 3 twoway taxiway 
1202 5 4 twoway taxiway 
1202 6 5 twoway taxiway 
1202 7 6 twoway taxiway 
1202 8 23 twoway taxiway 
1202 9 8 twoway taxiway 
1202 10 9 twoway taxiway 
1202 11 10 twoway taxiway 
1202 12 11 twoway taxiway 
1202 13 12 twoway taxiway 
1202 14 15 twoway taxiway 
1202 15 13 twoway taxiway 
1202 16 14 twoway taxiway 
1202 17 16 twoway taxiway 
1202 18 17 twoway taxiway 
1202 19 18 twoway taxiway 
1202 20 19 twoway taxiway 
1204 departure 08,26
1204 arrival 08,26
1202 21 20 twoway taxiway 
1204 departure 08,26
1204 arrival 08,26
1202 22 21 twoway taxiway 
1204 departure 08,26
1204 arrival 08,26
1202 27 22 twoway taxiway 
1204 departure 08,26
1204 arrival 08,26
1202 24 23 twoway taxiway 
1204 departure 08,26
1204 arrival 08,26
1202 25 24 twoway taxiway 
1204 departure 08,26
1204 arrival 08,26
1202 26 25 twoway taxiway 
1204 departure 08,26
1204 arrival 08,26
1202 27 26 twoway runway 08/26
1204 departure 08,26
1204 arrival 08,26
99
