I
1130 Generated by WorldEditor 2.2.0r2

1   1167 1 0 XEDD8 Marpingen
1302 city Marpingen
1302 country Germany
1302 datum_lat 49.451213
1302 datum_lon 7.045172
1302 state Saarland
1302 drive_on_left 1
100 200.00 3 0 0.30 0 0 0 10  49.45377306  007.03216232    0    0 1 0 0 0 28  49.45250551  007.04625700    0    0 0 0 0 0
130 Airport Boundary 2
111  49.45481460  007.03231427
111  49.45287467  007.03183986
111  49.45276370  007.03230636
111  49.45181532  007.04052953
111  49.45137707  007.04217258
111  49.45104839  007.04309943
111  49.45058275  007.04497419
111  49.45043210  007.04632234
111  49.45088404  007.04661724
111  49.45130860  007.04665937
111  49.45135511  007.04672219
111  49.45140281  007.04681297
111  49.45145854  007.04683586
111  49.45149432  007.04685271
111  49.45179516  007.04704137
111  49.45192489  007.04720706
111  49.45223988  007.04710173
111  49.45232205  007.04691215
111  49.45241792  007.04670150
111  49.45278769  007.04661724
111  49.45322594  007.04670150
113  49.45349985  007.04672257
1300  49.45151061  007.04330632   0.00 tie_down turboprops|props New Ramp Start 52
1301 A none 
1300  49.45120233  007.04436160   8.97 hangar props Akaflieg Hangar
1301 A none 
1300  49.45117319  007.04463820  12.80 tie_down props New Ramp Start 48
1301 A none 
1300  49.45124489  007.04409746  10.62 tie_down props New Ramp Start 47
1301 A none 
99
