I
1130 Generated by WorldEditor 2.0.0r4

1    776 1 0 ETAR Ramstein AB
1302 city Ramstein
1302 country Germany
1302 datum_lat 49.436166667
1302 datum_lon 7.6065
1302 faa_code 
1302 iata_code RMS
1302 icao_code ETAR
1302 region_code ED
1302 state Rhineland-Palatinate
1302 transition_alt 5000
1302 transition_level 
100 45.00 1 1 0.00 1 3 1 08  49.43254800  007.57882600    0  202 3 1 0 0 26  49.43640300  007.62255100    0  198 3 2 1 0
100 45.00 1 1 0.00 1 3 1 09  49.43586576  007.57563176    0  198 3 1 0 0 27  49.43759511  007.61711441    0  189 3 1 0 0
110 1 0.25 0.0000 lib/airport/pavement/asphalt_1D.pol
111  49.43844963  007.61201864
111  49.43847680  007.61275892
111  49.43855057  007.61274698
113  49.43852727  007.61200670
110 1 0.25 0.0000 lib/airport/pavement/asphalt_1D.pol
111  49.43724204  007.58091383
111  49.43718635  007.58084044
111  49.43717044  007.58051831
111  49.43710945  007.57858149
111  49.43704051  007.57858965
111  49.43708824  007.58000047
111  49.43715188  007.58083636
113  49.43719431  007.58105655
110 1 0.25 0.0000 lib/airport/pavement/asphalt_1D.pol
111  49.43188069  007.58405242
111  49.43191599  007.58404896
111  49.43189032  007.58359510
111  49.43192561  007.58350630
111  49.43177481  007.58193259
111  49.43170422  007.58195232
113  49.43185823  007.58356550
110 1 0.25 0.0000 lib/airport/pavement/asphalt_1D.pol
111  49.43949421  007.61678512
111  49.43961901  007.61975193
112  49.43932852  007.62017954  49.43928477  007.62027373
111  49.43923676  007.62055946
111  49.43937794  007.62397331
112  49.43932852  007.62429353  49.43928603  007.62447192
111  49.43919808  007.62458590
112  49.43893937  007.62511876  49.43886171  007.62542023
111  49.43886173  007.62583516
111  49.43892968  007.62822867
112  49.43875420  007.62956667  49.43861142  007.63013777
111  49.43833926  007.63073789
111  49.43794706  007.63155949
112  49.43710014  007.63214509  49.43664542  007.63206642
111  49.43637827  007.63178673
111  49.43532672  007.63065430
112  49.43512777  007.63028343  49.43507370  007.63011381
111  49.43504820  007.62985517
111  49.43458779  007.62473360
112  49.43432632  007.62371105  49.43409328  007.62319540
111  49.43385455  007.62293321
111  49.43360913  007.62273213
111  49.43347247  007.62261393
111  49.43241765  007.62166182
112  49.43221267  007.62134008  49.43213153  007.62111683
111  49.43207601  007.62070316
111  49.43208028  007.61885151
111  49.43207174  007.61862826
112  49.43197094  007.61758372  49.43197521  007.61724228
111  49.43200937  007.61721602
111  49.43218446  007.61671700
111  49.43234579  007.61527714
111  49.43215553  007.61527237
111  49.43222517  007.61537327
111  49.43209830  007.61668126
111  49.43197054  007.61710750
112  49.43190546  007.61768571  49.43191992  007.61801929
