I
1050 Generated by WorldEditor

1   1203 1 0 ETSI Ingolstadt-Manching
1302 city Manching
1302 country Germany
1302 datum_lat 48.715630556
1302 datum_lon 11.5337
1302 faa_code 
1302 iata_code IGS
1302 icao_code ETSI
1302 region_code ED
1302 state Bavaria
1302 transition_alt 5000
1302 transition_level 
100 30.00 2 1 0.25 0 3 0 07L  48.71513800  011.50959700  460    0 3 3 0 0 25R  48.72480000  011.54617000    0  320 3 3 0 0
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_1D.pol 
111  48.716270429  11.512912795 
111  48.716245391  11.512928023 
111  48.716255380  11.512965952 
113  48.716280453  11.512950744
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_1D.pol 
111  48.715851636  11.513172492 
111  48.715826598  11.513187720 
111  48.715836587  11.513225649 
113  48.715861660  11.513210441
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_1D.pol 
111  48.704851242  11.518411977 
111  48.704826204  11.518427205 
111  48.704836193  11.518465134 
113  48.704861266  11.518449926
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_1D.pol 
111  48.704291431  11.518798608 
111  48.704281407  11.518760659 
111  48.704256369  11.518775887 
113  48.704266358  11.518813816
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_2L.pol 
111  48.704855961  11.518396580 
111  48.704816126  11.518420439 
111  48.704831735  11.518479770 
113  48.704871485  11.518455791
111  48.704861266  11.518449926 
111  48.704836193  11.518465134 
111  48.704826204  11.518427205 
113  48.704851242  11.518411977
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_2L.pol 
111  48.704286126  11.518745262 
111  48.704246291  11.518769121 
111  48.704261900  11.518828452 
113  48.704301650  11.518804473
111  48.704291431  11.518798608 
111  48.704266358  11.518813816 
111  48.704256369  11.518775887 
113  48.704281407  11.518760659
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_2L.pol 
111  48.706196468  11.523477826 
111  48.706156633  11.523501685 
111  48.706172242  11.523561016 
113  48.706211992  11.523537037
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_2L.pol 
111  48.705626638  11.523826444 
111  48.705586803  11.523850303 
111  48.705602412  11.523909634 
113  48.705642162  11.523885655
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_2L.pol 
111  48.723789186  11.541333094 
111  48.723749351  11.541356953 
111  48.723764960  11.541416284 
113  48.723804710  11.541392305
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_2L.pol 
111  48.723369655  11.541589205 
111  48.723329820  11.541613064 
111  48.723345429  11.541672395 
113  48.723385179  11.541648416
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_2L.pol 
111  48.716275148  11.512897398 
111  48.716235313  11.512921257 
111  48.716250922  11.512980588 
113  48.716290672  11.512956609
111  48.716280453  11.512950744 
111  48.716255380  11.512965952 
111  48.716245391  11.512928023 
113  48.716270429  11.512912795
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_2L.pol 
111  48.715856355  11.513157095 
111  48.715816520  11.513180954 
111  48.715832129  11.513240285 
113  48.715871879  11.513216306
111  48.715836587  11.513225649 
111  48.715826598  11.513187720 
111  48.715851636  11.513172492 
113  48.715861660  11.513210441
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_2L.pol 
111  48.713852666  11.556277713 
111  48.713781053  11.556321173 
111  48.713804631  11.556409556 
111  48.713876320  11.556365770 
111  48.713867643  11.556333662 
111  48.714035513  11.556233227 
111  48.714070783  11.556365910 
111  48.714104027  11.556345411 
111  48.714027074  11.556054157 
111  48.713993645  11.556074767 
111  48.714028547  11.556207673 
113  48.713861002  11.556308448
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_2L.pol 
111  48.715010028  11.555667388 
111  48.715081641  11.555623928 
111  48.715058064  11.555535545 
111  48.714986374  11.555579332 
111  48.714995052  11.555611440 
111  48.714822216  11.555714973 
111  48.714786946  11.555582291 
111  48.714753701  11.555602790 
111  48.714830655  11.555894044 
111  48.714864083  11.555873433 
111  48.714829181  11.555740528 
113  48.715001692  11.555636653
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_2L.pol 
111  48.712240416  11.550234603 
111  48.712168802  11.550278063 
111  48.712192380  11.550366446 
111  48.712264070  11.550322659 
111  48.712255392  11.550290551 
111  48.712438617  11.550179571 
111  48.712473887  11.550312254 
111  48.712507132  11.550291755 
111  48.712430178  11.550000501 
111  48.712396750  11.550021111 
111  48.712431652  11.550154017 
113  48.712248751  11.550265338
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_2L.pol 
111  48.713418786  11.549624761 
111  48.713490399  11.549581301 
111  48.713466822  11.549492918 
111  48.713395132  11.549536705 
111  48.713403809  11.549568813 
111  48.713220584  11.549679792 
111  48.713185314  11.549547110 
111  48.713152069  11.549567609 
111  48.713229023  11.549858863 
111  48.713262452  11.549838253 
111  48.713227549  11.549705347 
113  48.713410450  11.549594026
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_1L.pol 
111  48.704042834  11.518182615 
111  48.703880632  11.518280078 
111  48.704060728  11.518956944 
113  48.704221693  11.518858935
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_1L.pol 
111  48.704911691  11.518436433 
111  48.705079269  11.518341479 
111  48.704900087  11.517658314 
113  48.704735021  11.517764504
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_6L.pol 
111  48.716345215  11.516182271 
111  48.716342415  11.516171467 
111  48.716328226  11.516180701 
111  48.716315276  11.516132092 
111  48.716308274  11.516136719 
111  48.716321165  11.516185297 
111  48.716306534  11.516194819 
113  48.716309596  11.516205532
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_6L.pol 
111  48.721522702  11.535926906 
111  48.721544447  11.535911948 
111  48.721536842  11.535885972 
111  48.721530806  11.535890646 
111  48.721535774  11.535907978 
113  48.721520360  11.535918441
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_6L.pol 
111  48.721283726  11.536074158 
111  48.721303904  11.536061159 
111  48.721301690  11.536052765 
111  48.721286489  11.536063036 
111  48.721281302  11.536044554 
113  48.721276357  11.536047663
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_6L.pol 
111  48.717011721  11.519836535 
111  48.716989977  11.519851494 
111  48.716997582  11.519877469 
111  48.717003618  11.519872795 
111  48.716998650  11.519855463 
113  48.717014063  11.519845000
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_6L.pol 
111  48.717250698  11.519689283 
111  48.717230520  11.519702282 
111  48.717232734  11.519710676 
111  48.717247934  11.519700405 
111  48.717253122  11.519718887 
113  48.717258067  11.519715778
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_6L.pol 
111  48.715607430  11.514549526 
111  48.715585685  11.514564484 
111  48.715593291  11.514590459 
111  48.715599326  11.514585785 
111  48.715594358  11.514568453 
113  48.715609772  11.514557990
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_6L.pol 
111  48.715846407  11.514402273 
111  48.715826228  11.514415272 
111  48.715828443  11.514423666 
111  48.715843643  11.514413395 
111  48.715848830  11.514431877 
113  48.715853776  11.514428769
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_1D.pol 
111  48.718267810  11.552381640 
112  48.718289907  11.552475352  48.718301275  11.552506679 
111  48.718327850  11.552528860 
112  48.718331777  11.552429697  48.718341069  11.552389538 
112  48.718391476  11.552179970  48.718402156  11.552134184 
112  48.718464807  11.552038888  48.718490438  11.552017151 
112  48.719691190  11.551049564  48.719747851  11.551005983 
112  48.719769205  11.550788719  48.719748628  11.550703548 
112  48.719452710  11.549410310  48.719436823  11.549341892 
112  48.719227536  11.548755469  48.719211364  11.548668058 
112  48.719176344  11.548482446  48.719165810  11.548425783 
111  48.719214501  11.548307419 
111  48.719181215  11.548121560 
111  48.719027596  11.548176639 
111  48.719057619  11.548354180 
112  48.719149193  11.548492214  48.719160113  11.548547553 
111  48.719201229  11.548764622 
111  48.719144808  11.548788290 
111  48.719204181  11.548962468 
111  48.719257753  11.548943783 
112  48.719427772  11.549429389  48.719442902  11.549495896 
112  48.719742879  11.550799722  48.719758039  11.550861729 
112  48.719675054  11.551014019  48.719625609  11.551054890 
112  48.718450929  11.552003121  48.718392993  11.552049423 
112  48.718365080  11.552165625  48.718350333  11.552219910 
114  48.718323150  11.552340779  48.718307487  11.552401748 
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_6D.pol 
111  48.722064135  11.549262267 
111  48.721960664  11.549328039 
111  48.721994917  11.549454245 
113  48.722098865  11.549389214
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_3D.pol 
111  48.722533941  11.551647117 
111  48.722593329  11.551869590 
112  48.722630813  11.551762266  48.722664575  11.551741100 
111  48.723135383  11.551445322 
111  48.723150540  11.551500176 
111  48.723168190  11.551489089 
111  48.723153034  11.551434235 
111  48.723161069  11.551429188 
111  48.723176226  11.551484042 
111  48.723204751  11.551466123 
111  48.723189594  11.551411269 
111  48.723254860  11.551370273 
111  48.723270016  11.551425127 
111  48.723288382  11.551413591 
111  48.723273225  11.551358737 
