I
1130 Generated by WorldEditor 2.1.0r1

1    495 1 0 LHBP Budapest Ferenc Liszt Intl
1302 city Budapest
1302 country Hungary
1302 datum_lat 47.439444444
1302 datum_lon 19.261944444
1302 faa_code 
1302 gui_label 3D
1302 iata_code BUD
1302 icao_code LHBP
1302 region_code LH
1302 state Pest
1302 transition_alt 10000
1302 transition_level 
100 45.00 2 1 0.25 1 3 0 13R  47.44872482  019.22070091    0   60 3 2 1 1 31L  47.43045066  019.25026802    0   60 3 2 1 1
100 45.00 2 1 0.25 1 3 0 13L  47.44542555  019.25754389    0   60 3 2 1 1 31R  47.42291600  019.29395054    0   60 3 2 1 1
102 H  47.43555684  019.23271753 354.04 120.00 120.00 3 0 0 0.50 0
110 1 0.25 130.0000 asphalt_1D.pol
111  47.42628380  019.27787659
112  47.42625657  019.27801546  47.42625702  019.27809999
111  47.42628683  019.27815242
111  47.42715687  019.27934387
111  47.42715007  019.27942303
111  47.42712708  019.27947597
111  47.42716126  019.27952610
111  47.42724265  019.27943377
111  47.42764921  019.27935888
111  47.42789799  019.27896941
111  47.42786822  019.27892196
111  47.42762734  019.27930288
111  47.42727836  019.27935376
111  47.42723052  019.27934217
111  47.42718347  019.27930391
111  47.42631592  019.27810232
112  47.42630048  019.27801109  47.42630094  019.27795205
111  47.42631682  019.27791247
111  47.42670078  019.27729432
113  47.42667323  019.27725759
110 1 0.25 42.0000 asphalt_1D.pol
111  47.42774324  019.27853526
111  47.42673139  019.27715417
111  47.42781565  019.27543891
111  47.42779711  019.27541186
111  47.42664877  019.27722476
111  47.42768454  019.27861595
111  47.42796666  019.27908468
113  47.42802083  019.27899692
110 1 0.25 42.0000 asphalt_1D.pol
111  47.42916676  019.27679187
111  47.42811023  019.27535516
112  47.42795793  019.27529372  47.42787637  019.27531111
111  47.42781522  019.27543897
111  47.42784598  019.27548069
112  47.42796013  019.27537285  47.42802679  019.27535546
111  47.42808354  019.27541678
113  47.42911823  019.27687037
110 1 0.25 128.0000 asphalt_2D.pol
111  47.42796666  019.27908468
112  47.42802733  019.27929804  47.42802842  019.27943087
111  47.42797377  019.27954156
111  47.42753043  019.28041208
111  47.42761046  019.28049453
111  47.42804458  019.27961121
112  47.42811272  019.27929918  47.42810611  019.27912401
113  47.42802083  019.27899692
110 1 0.25 138.0000 asphalt_2D.pol
111  47.42860664  019.27856343
112  47.42846624  019.27864002  47.42838585  019.27865258
111  47.42830531  019.27855636
111  47.42825895  019.27849817
111  47.42820789  019.27858314
111  47.42825058  019.27863869
112  47.42848657  019.27876909  47.42859899  019.27873958
111  47.42864220  019.27868203
111  47.42921176  019.27790475
113  47.42915245  019.27782637
110 1 0.25 310.0000 asphalt_4D.pol
111  47.43188325  019.27247318
111  47.42899228  019.27706915
111  47.42907034  019.27717984
113  47.43194082  019.27256840
110 1 0.25 132.0000 asphalt_4D.pol
111  47.42224237  019.28737341
111  47.41726985  019.29540134
111  47.41730166  019.29545287
111  47.41825615  019.29391255
111  47.41830937  019.29390253
111  47.42046954  019.29675760
111  47.42039758  019.29688014
111  47.42042616  019.29691804
111  47.42050414  019.29680457
111  47.42056439  019.29688445
111  47.42059135  019.29683780
111  47.41834581  019.29384304
111  47.41834244  019.29377330
111  47.42219132  019.28756212
111  47.42227718  019.28742354
111  47.42716126  019.27952610
113  47.42712708  019.27947597
110 1 0.25 0.0000 safety_area_white.pol
111  47.42329237  019.29052164
111  47.42334642  019.29059469
111  47.42340841  019.29049489
113  47.42335394  019.29042343
110 1 0.25 100.0000 safety_area_white.pol
111  47.43813916  019.22505338
111  47.43808519  019.22494575
111  47.43801282  019.22502508
113  47.43806679  019.22513270
110 1 0.25 100.0000 safety_area_white.pol
111  47.43736955  019.22589622
111  47.43731207  019.22579264
111  47.43710519  019.22602267
113  47.43715781  019.22612209
110 1 0.25 10.0000 safety_area_white.pol
111  47.43742946  019.22705279
111  47.43728138  019.22676498
111  47.43660623  019.22752912
113  47.43674680  019.22780786
110 1 0.25 117.0000 safety_area_yellow.pol
111  47.43025089  019.24224704
111  47.43056096  019.24247780
111  47.43058898  019.24238848
111  47.43054821  019.24234851
113  47.43028067  019.24216104
110 1 0.25 65.0000 safety_area_red.pol
111  47.43099158  019.23949371
111  47.43056129  019.23962689
111  47.43053380  019.23970762
113  47.43096662  019.23957260
110 1 0.25 80.0000 safety_area_yellow.pol
111  47.43361629  019.26316325
111  47.43357777  019.26311088
111  47.43354362  019.26317215
114  47.43357834  019.26318992  47.43360173  019.26319060
110 1 0.25 0.0000 safety_area_yellow.pol
111  47.43417681  019.26201544
111  47.43409752  019.26214680
111  47.43416944  019.26226471
114  47.43420898  019.26213320  47.43421102  019.26206870
110 1 0.25 90.0000 safety_area_red.pol
111  47.43408175  019.26304739
111  47.43414683  019.26293998
111  47.43409440  019.26286587
111  47.43406646  019.26290913
113  47.43409473  019.26294873
110 1 0.25 90.0000 safety_area_red.pol
111  47.43437541  019.26255463
111  47.43444386  019.26244252
111  47.43439245  019.26237113
113  47.43437626  019.26240221
110 1 0.25 45.0000 safety_area_red.pol
111  47.43436645  019.26167660
111  47.43429545  019.26168374
111  47.43429953  019.26181808
113  47.43437138  019.26181640
110 1 0.25 0.0000 safety_area_red.pol
111  47.43405687  019.26141922
111  47.43411379  019.26149984
111  47.43416623  019.26142196
113  47.43410595  019.26133860
110 1 0.25 90.0000 safety_area_red.pol
111  47.43127458  019.25967896
111  47.43144632  019.25976614
111  47.43140091  019.25951201
112  47.43134881  019.25949132  47.43132455  019.25950182
113  47.43129005  019.25955156
110 1 0.25 95.0000 safety_area_red.pol
111  47.43095090  019.26011032
111  47.43104431  019.25995850
111  47.43100249  019.25990126
111  47.43095077  019.25998296
111  47.43095204  019.25995229
113  47.43089900  019.26003959
110 1 0.25 97.0000 safety_area_red.pol
111  47.43195329  019.25825636
111  47.43204303  019.25838286
111  47.43201700  019.25842462
111  47.43192750  019.25830523
111  47.43185976  019.25860403
111  47.43204578  019.25887017
111  47.43200524  019.25893389
111  47.43199886  019.25892536
111  47.43199582  019.25893015
111  47.43199216  019.25892507
111  47.43199533  019.25892017
111  47.43199301  019.25891702
111  47.43197050  019.25895258
111  47.43196691  019.25894760
111  47.43198946  019.25891204
111  47.43197604  019.25889342
111  47.43195351  019.25892902
111  47.43193920  019.25890930
111  47.43196176  019.25887362
111  47.43195950  019.25887048
111  47.43193689  019.25890600
111  47.43192266  019.25888628
111  47.43194520  019.25885066
111  47.43194326  019.25884796
111  47.43192043  019.25888386
111  47.43190976  019.25886905
111  47.43193253  019.25883307
111  47.43184040  019.25870535
111  47.43185623  019.25885154
111  47.43197918  019.25901419
112  47.43208087  019.25893029  47.43213119  019.25890871
111  47.43225941  019.25878254
111  47.43228697  019.25873789
111  47.43222788  019.25866127
111  47.43227295  019.25858809
111  47.43217209  019.25832067
113  47.43203082  019.25813070
110 1 0.25 97.0000 safety_area_red.pol
111  47.43247588  019.25742881
111  47.43256835  019.25755941
111  47.43254146  019.25760254
111  47.43244902  019.25747924
111  47.43237906  019.25778784
111  47.43257118  019.25806273
111  47.43252932  019.25812854
111  47.43251505  019.25810875
111  47.43251365  019.25811097
111  47.43251005  019.25810600
111  47.43251144  019.25810374
111  47.43250922  019.25810066
111  47.43248827  019.25813356
111  47.43248471  019.25812862
111  47.43250559  019.25809562
111  47.43249251  019.25807747
111  47.43247204  019.25811055
111  47.43245760  019.25809113
111  47.43247822  019.25805766
111  47.43247588  019.25805441
111  47.43245516  019.25808814
111  47.43244069  019.25806869
111  47.43246158  019.25803457
111  47.43245964  019.25803188
111  47.43243861  019.25806613
111  47.43242774  019.25805149
111  47.43244888  019.25801712
111  47.43235906  019.25789250
111  47.43237541  019.25804349
111  47.43255402  019.25830262
111  47.43269993  019.25806659
111  47.43277561  019.25773762
113  47.43261102  019.25729059
110 1 0.25 97.0000 safety_area_red.pol
111  47.43260611  019.25943988
112  47.43254712  019.25963050  47.43254028  019.25972967
111  47.43257785  019.25981255
111  47.43263484  019.25988969
112  47.43270126  019.25991621  47.43273703  019.25991404
111  47.43270126  019.25991621
112  47.43270126  019.25991621  47.43274124  019.25990915
112  47.43283196  019.25987055  47.43288978  019.25986201
111  47.43283196  019.25987055
112  47.43283196  019.25987055  47.43287405  019.25986667
111  47.43290797  019.25987793
111  47.43294107  019.25939738
113  47.43277282  019.25916712
110 1 0.25 97.0000 safety_area_red.pol
111  47.43299873  019.25658500
111  47.43298376  019.25664039
111  47.43304455  019.25684580
111  47.43300014  019.25687016
111  47.43296026  019.25672937
111  47.43290563  019.25693632
111  47.43309776  019.25721121
111  47.43305589  019.25727702
111  47.43304028  019.25725547
111  47.43303931  019.25725704
111  47.43303571  019.25725204
111  47.43303669  019.25725050
111  47.43303446  019.25724741
111  47.43301387  019.25727940
111  47.43301027  019.25727436
111  47.43303084  019.25724240
111  47.43301282  019.25721752
111  47.43299223  019.25724932
111  47.43297813  019.25722944
111  47.43299868  019.25719770
111  47.43299632  019.25719443
111  47.43297574  019.25722628
111  47.43296158  019.25720637
111  47.43298206  019.25717467
111  47.43298014  019.25717199
111  47.43295967  019.25720375
111  47.43294893  019.25718874
111  47.43296934  019.25715702
111  47.43288563  019.25704097
111  47.43290198  019.25719197
111  47.43308059  019.25745111
111  47.43322650  019.25721507
111  47.43327897  019.25693142
111  47.43321227  019.25670328
113  47.43310764  019.25646548
110 1 0.25 132.0000 safety_area_white.pol
111  47.43038150  019.27065508
111  47.43036095  019.27068807
111  47.43043526  019.27078912
113  47.43045582  019.27075612
110 1 0.25 132.0000 safety_area_white.pol
111  47.43026707  019.27085243
111  47.43024652  019.27088542
111  47.43032083  019.27098647
113  47.43034138  019.27095348
110 1 0.25 132.0000 safety_area_white.pol
111  47.43020472  019.27236685
111  47.43018417  019.27239984
111  47.43027880  019.27252865
113  47.43029935  019.27249566
110 1 0.25 132.0000 safety_area_white.pol
111  47.42972492  019.27172028
111  47.42970437  019.27175327
111  47.42976511  019.27183594
113  47.42978566  019.27180295
110 1 0.25 165.0000 safety_area_white.pol
111  47.43893915  019.22431474
111  47.43894855  019.22435827
111  47.43897088  019.22434227
113  47.43896426  019.22430524
110 1 0.25 65.0000 safety_area_white.pol
111  47.43831785  019.22476081
111  47.43832821  019.22478900
111  47.43894862  019.22435896
113  47.43894473  019.22434113
110 1 0.25 71.0000 safety_area_white.pol
111  47.44273179  019.22134739
111  47.44262890  019.22140272
111  47.44263618  019.22143184
113  47.44273907  019.22137652
110 1 0.25 71.0000 safety_area_white.pol
111  47.44104730  019.22212233
111  47.44093750  019.22217875
111  47.44094448  019.22220803
113  47.44105429  019.22215161
110 1 0.25 71.0000 safety_area_white.pol
111  47.44152828  019.22180018
111  47.44131884  019.22190860
111  47.44132583  019.22193788
113  47.44153527  019.22182946
110 1 0.25 73.0000 safety_area_white.pol
111  47.44265709  019.22036798
111  47.44233371  019.22051535
111  47.44233993  019.22054501
113  47.44266331  019.22039764
110 1 0.25 160.0000 safety_area_white.pol
111  47.44147953  019.22152708
111  47.44153089  019.22174575
111  47.44152761  019.22180017
111  47.44153541  019.22182954
111  47.44156925  019.22165804
111  47.44152953  019.22150141
111  47.44150722  019.22151287
111  47.44154657  019.22168086
111  47.44153978  019.22168444
113  47.44149974  019.22151671
110 1 0.25 204.0000 safety_area_white.pol
111  47.44163717  019.22197048
111  47.44160715  019.22206719
111  47.44162800  019.22208134
113  47.44165802  019.22198462
110 1 0.25 71.0000 safety_area_white.pol
111  47.44174134  019.22235837
111  47.44175433  019.22241631
111  47.44180624  019.22239017
113  47.44179324  019.22233224
110 1 0.25 160.0000 safety_area_white.pol
111  47.44164061  019.22226610
111  47.44165964  019.22234713
111  47.44168131  019.22233600
113  47.44166228  019.22225498
110 1 0.25 160.0000 safety_area_white.pol
111  47.44199986  019.22170092
111  47.44201889  019.22178195
111  47.44204056  019.22177082
113  47.44202153  019.22168979
110 1 0.25 165.0000 safety_area_white.pol
111  47.44286915  019.22004773
111  47.44288766  019.22014895
111  47.44290793  019.22014084
113  47.44288942  019.22003962
110 1 0.25 20.0000 safety_area_white.pol
111  47.44116652  019.22463026
111  47.44144018  019.22443928
112  47.44146025  019.22441419  47.44146951  019.22439886
111  47.44146987  019.22437765
111  47.44124767  019.22453016
114  47.44120448  019.22456830  47.44118811  019.22458761
110 1 0.25 20.0000 safety_area_white.pol
111  47.44146948  019.22446826
111  47.44154479  019.22441584
112  47.44150131  019.22439511  47.44147972  019.22437128
111  47.44150131  019.22439511
114  47.44150131  019.22439511  47.44149636  019.22443008
110 1 0.25 20.0000 safety_area_white.pol
111  47.44151464  019.22435072
112  47.44157088  019.22437470  47.44160338  019.22437470
111  47.44163086  019.22435455
111  47.44185295  019.22419797
113  47.44206853  019.22397615
110 1 0.25 40.0000 colored_area_green.pol
111  47.43305277  019.25876081
111  47.43315125  019.25859756
111  47.43313225  019.25857251
111  47.43311635  019.25859886
111  47.43312181  019.25860606
111  47.43302621  019.25876455
111  47.43312286  019.25889195
113  47.43313588  019.25887037
110 2 0.25 42.0000 concrete_2D.pol
111  47.42197050  019.26001846
111  47.42199377  019.26004095
111  47.42200408  019.26001766
113  47.42198082  019.25999516
110 2 0.25 42.0000 concrete_2D.pol
111  47.42181767  019.26038427
111  47.42184093  019.26040677
111  47.42185125  019.26038347
113  47.42182798  019.26036098
110 1 0.25 28.0000 asphalt_3D.pol
111  47.42597174  019.24550601
111  47.42705085  019.24637853
111  47.42688421  019.24687072
111  47.42580897  019.24605489
111  47.42577585  019.24615797
111  47.42618909  019.24645934
111  47.42621155  019.24652647
111  47.42620428  019.24659377
111  47.42611095  019.24686968
111  47.42615066  019.24689903
111  47.42623957  019.24661999
111  47.42627551  019.24658635
111  47.42633361  019.24657661
111  47.42693866  019.24706140
111  47.42698058  019.24712780
111  47.42698537  019.24719773
111  47.42684343  019.24762079
111  47.42677934  019.24768454
111  47.42672065  019.24768276
111  47.42614766  019.24725033
111  47.42612681  019.24717171
111  47.42620444  019.24694437
111  47.42611053  019.24687083
111  47.42602012  019.24714456
111  47.42557302  019.24682523
111  47.42553328  019.24693721
111  47.42671645  019.24777347
111  47.42680917  019.24778091
111  47.42689110  019.24771292
111  47.42702992  019.24727063
111  47.42704495  019.24712789
111  47.42699322  019.24701937
111  47.42697063  019.24694140
111  47.42714367  019.24641732
111  47.42708358  019.24624286
113  47.42600194  019.24542444
110 1 0.25 26.0000 asphalt_3D.pol
111  47.42801467  019.24536655
111  47.42642749  019.24417151
111  47.42639808  019.24425988
111  47.42799536  019.24541981
111  47.42805823  019.24547303
111  47.42808569  019.24543747
113  47.42811724  019.24534610
110 1 0.25 26.0000 asphalt_5D.pol
111  47.42555675  019.24875271
111  47.42588615  019.24864371
111  47.42601860  019.24859751
111  47.42606969  019.24852792
111  47.42612146  019.24842958
111  47.42619632  019.24838236
111  47.42624823  019.24839343
111  47.42637550  019.24881984
111  47.42644688  019.24888476
111  47.42637650  019.24885378
111  47.42601861  019.24859856
111  47.42595176  019.24862137
