I
1130 Generated by WorldEditor 2.0.0r4

17   1624 0 0 XED7D [H] Klinikum Augsburg
102 H1  48.38450384  010.83776564  29.00 18.00 18.00 15 0 0 0.00 0
102 H2  48.38159216  010.83894375 354.75 30.00 30.00 15 0 0 0.00 0
110 1 0.25 60.0000 lib/airport/pavement/asphalt_1D.pol
111  48.38622112  010.83817899
111  48.38664450  010.83810484
111  48.38659858  010.83741055
111  48.38643581  010.83743398
111  48.38641465  010.83712877
111  48.38645747  010.83712301
111  48.38642930  010.83672222
111  48.38638749  010.83672952
111  48.38637158  010.83651958
111  48.38603856  010.83656221
111  48.38603494  010.83654311
111  48.38550544  010.83663047
111  48.38547250  010.83667706
111  48.38523304  010.83669982
111  48.38523908  010.83680061
111  48.38490268  010.83684766
111  48.38500057  010.83824891
113  48.38571454  010.83814417
112  48.38499297  010.83706859  48.38499476  010.83709619
112  48.38500394  010.83723911  48.38500551  010.83726335
112  48.38497955  010.83724392  48.38497777  010.83721968
114  48.38496809  010.83707029  48.38496608  010.83703999
112  48.38522828  010.83702727  48.38522085  010.83701966
112  48.38522888  010.83699905  48.38523394  010.83699233
114  48.38524167  010.83701339  48.38524167  010.83702548
112  48.38523156  010.83712494  48.38522382  010.83711553
112  48.38523305  010.83709716  48.38524048  010.83709223
114  48.38524524  010.83711374  48.38524435  010.83712628
110 1 0.25 60.0000 lib/airport/pavement/asphalt_2D.pol
111  48.38578272  010.83627173
111  48.38576474  010.83594118
111  48.38554180  010.83597226
113  48.38556246  010.83630864
110 1 0.25 60.0000 lib/airport/pavement/asphalt_2D.pol
111  48.38603347  010.83588096
111  48.38605773  010.83621829
111  48.38631849  010.83617568
113  48.38629512  010.83584565
110 1 0.25 60.0000 lib/airport/pavement/asphalt_1D.pol
112  48.38588260  010.83613405  48.38587396  010.83611701
112  48.38585573  010.83608111  48.38584688  010.83606469
112  48.38582043  010.83608190  48.38581364  010.83610266
112  48.38580189  010.83614039  48.38579449  010.83616363
112  48.38581730  010.83618738  48.38583026  010.83618676
114  48.38586793  010.83618289  48.38588213  010.83618134
110 1 0.25 354.0000 lib/airport/pavement/asphalt_6L.pol
111  48.38173405  010.83912142
111  48.38171017  010.83873014
111  48.38145027  010.83876606
113  48.38147416  010.83915737
111  48.38145517  010.83877220
111  48.38170609  010.83873746
111  48.38172915  010.83911524
113  48.38147825  010.83914998
110 1 0.25 354.0000 lib/airport/pavement/asphalt_6L.pol
111  48.38160933  010.83900258
111  48.38160685  010.83896212
111  48.38163373  010.83895839
111  48.38163125  010.83891792
111  48.38160436  010.83892166
111  48.38160190  010.83888118
111  48.38157502  010.83888489
111  48.38157749  010.83892537
111  48.38155059  010.83892908
111  48.38155307  010.83896957
111  48.38157996  010.83896584
113  48.38158243  010.83900633
110 1 0.25 60.0000 lib/airport/pavement/asphalt_2D.pol
111  48.38545984  010.84039074
111  48.38538223  010.83921467
111  48.38522697  010.83923367
111  48.38528427  010.84002670
111  48.38532954  010.84002025
111  48.38535285  010.84034121
111  48.38530999  010.84034760
111  48.38532058  010.84050689
111  48.38536479  010.84049895
112  48.38537379  010.84060513  48.38537875  010.84065735
111  48.38536761  010.84081590
111  48.38549726  010.84056501
112  48.38542366  010.84055050  48.38541283  010.84052905
111  48.38541297  010.84049029
111  48.38542471  010.84048818
113  48.38541895  010.84039924
