I
1000 Generated by WorldEditor 2.2.0r2

1    519 1 0 EDTK Sinsheim
1302 city Karlsruhe
1302 country Germany
1302 datum_lat 49.248333333
1302 datum_lon 8.894666667
1302 faa_code 
1302 iata_code 
1302 icao_code EDTK
1302 region_code ED
1302 state Baden-Württemberg
1302 transition_alt 
1302 transition_level 
100 30.00 3 0 0.00 0 0 0 12  49.24942245  008.88749455  260    0 0 0 0 0 30  49.24492664  008.90022621    0    0 0 0 0 0
100 30.00 3 0 0.00 0 0 0 11  49.24982242  008.88781132    0    0 0 0 0 0 29  49.24875540  008.89084562    0    0 0 0 0 0
100 30.00 3 0 0.00 0 0 0 13  49.24632485  008.89771763    0    0 0 0 0 0 31  49.24519962  008.90070150    0    0 0 0 0 0
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24864782  008.89072705
111  49.24864139  008.89072175
111  49.24863330  008.89074472
113  49.24863972  008.89075004
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24888549  008.89092322
111  49.24887906  008.89091791
111  49.24887097  008.89094088
113  49.24887739  008.89094621
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24885732  008.89012901
111  49.24885089  008.89012370
111  49.24884280  008.89014668
113  49.24884922  008.89015200
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24909499  008.89032517
111  49.24908856  008.89031987
111  49.24908047  008.89034284
113  49.24908689  008.89034816
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24907049  008.88952294
111  49.24906407  008.88951763
111  49.24905597  008.88954060
113  49.24906239  008.88954592
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24930816  008.88971910
111  49.24930174  008.88971380
111  49.24929364  008.88973677
113  49.24930006  008.88974209
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24928535  008.88891613
111  49.24927893  008.88891082
111  49.24927083  008.88893379
113  49.24927726  008.88893911
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24952302  008.88911229
111  49.24951660  008.88910699
111  49.24950851  008.88912996
113  49.24951493  008.88913528
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24949734  008.88831410
111  49.24949092  008.88830880
111  49.24948282  008.88833177
113  49.24948924  008.88833709
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24973501  008.88851027
111  49.24972859  008.88850496
111  49.24972049  008.88852794
113  49.24972691  008.88853326
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24970765  008.88771543
111  49.24970122  008.88771012
111  49.24969313  008.88773310
113  49.24969955  008.88773842
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24994531  008.88791160
111  49.24993889  008.88790629
111  49.24993080  008.88792926
113  49.24993722  008.88793458
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24509642  008.90057610
111  49.24509010  008.90057051
111  49.24508158  008.90059312
113  49.24508789  008.90059872
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24533027  008.90078278
111  49.24532395  008.90077719
111  49.24531542  008.90079979
113  49.24532174  008.90080540
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24531719  008.89998765
111  49.24531087  008.89998206
111  49.24530234  008.90000466
113  49.24530866  008.90001027
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24555103  008.90019433
111  49.24554472  008.90018874
111  49.24553619  008.90021134
113  49.24554250  008.90021695
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24554179  008.89939134
111  49.24553547  008.89938575
111  49.24552694  008.89940835
113  49.24553326  008.89941395
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24577563  008.89959801
111  49.24576931  008.89959242
111  49.24576078  008.89961503
113  49.24576710  008.89962063
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24576808  008.89879436
111  49.24576176  008.89878877
111  49.24575324  008.89881138
113  49.24575955  008.89881698
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24600193  008.89900104
111  49.24599561  008.89899545
111  49.24598708  008.89901805
113  49.24599340  008.89902366
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24599141  008.89820204
111  49.24598509  008.89819645
111  49.24597657  008.89821905
113  49.24598288  008.89822466
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24622526  008.89840872
111  49.24621894  008.89840313
111  49.24621041  008.89842573
113  49.24621673  008.89843133
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24621300  008.89761300
111  49.24620668  008.89760741
111  49.24619815  008.89763001
113  49.24620447  008.89763562
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24644685  008.89781967
111  49.24644052  008.89781408
111  49.24643200  008.89783669
113  49.24643831  008.89784229
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24505846  008.90034438
111  49.24506192  008.90033454
111  49.24504691  008.90032217
113  49.24504345  008.90033201
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24480831  008.90013134
111  49.24481176  008.90012149
111  49.24479675  008.90010912
113  49.24479329  008.90011896
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24490869  008.89985637
111  49.24490227  008.89985106
111  49.24489416  008.89987402
113  49.24490058  008.89987935
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24514624  008.90005288
111  49.24513982  008.90004757
111  49.24513171  008.90007053
113  49.24513812  008.90007586
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24513546  008.89921249
111  49.24512904  008.89920717
111  49.24512093  008.89923013
113  49.24512735  008.89923546
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24537301  008.89940900
111  49.24536659  008.89940369
111  49.24535848  008.89942665
113  49.24536490  008.89943198
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24535365  008.89859623
111  49.24534723  008.89859091
111  49.24533912  008.89861387
113  49.24534553  008.89861920
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24559119  008.89879274
111  49.24558477  008.89878743
111  49.24557667  008.89881039
113  49.24558308  008.89881572
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24557436  008.89796900
111  49.24556794  008.89796369
111  49.24555983  008.89798665
113  49.24556625  008.89799198
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24581191  008.89816552
111  49.24580549  008.89816020
111  49.24579738  008.89818316
113  49.24580380  008.89818849
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24579447  008.89734835
111  49.24578805  008.89734304
111  49.24577994  008.89736600
113  49.24578635  008.89737133
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24603201  008.89754487
111  49.24602559  008.89753955
111  49.24601749  008.89756252
113  49.24602390  008.89756785
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24601185  008.89672807
111  49.24600543  008.89672276
111  49.24599732  008.89674572
113  49.24600374  008.89675105
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24624940  008.89692459
111  49.24624298  008.89691927
111  49.24623487  008.89694224
113  49.24624129  008.89694757
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24623325  008.89610477
111  49.24622683  008.89609946
111  49.24621873  008.89612242
113  49.24622514  008.89612775
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24647080  008.89630129
111  49.24646438  008.89629597
111  49.24645627  008.89631893
113  49.24646269  008.89632426
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24645367  008.89547705
111  49.24644725  008.89547173
111  49.24643914  008.89549469
113  49.24644556  008.89550002
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24669122  008.89567356
111  49.24668480  008.89566825
111  49.24667669  008.89569121
113  49.24668311  008.89569654
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24666542  008.89487910
111  49.24665900  008.89487378
111  49.24665089  008.89489674
113  49.24665731  008.89490207
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24690297  008.89507561
111  49.24689655  008.89507030
111  49.24688844  008.89509326
113  49.24689486  008.89509859
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24689220  008.89423521
111  49.24688577  008.89422990
111  49.24687767  008.89425286
113  49.24688408  008.89425819
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24712974  008.89443173
111  49.24712332  008.89442641
111  49.24711521  008.89444938
113  49.24712163  008.89445470
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24711038  008.89361895
111  49.24710396  008.89361364
111  49.24709585  008.89363660
113  49.24710227  008.89364193
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24734793  008.89381547
111  49.24734151  008.89381015
111  49.24733340  008.89383311
113  49.24733982  008.89383845
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24733109  008.89299173
111  49.24732467  008.89298641
111  49.24731656  008.89300938
113  49.24732298  008.89301471
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24756864  008.89318824
111  49.24756222  008.89318293
111  49.24755411  008.89320589
113  49.24756053  008.89321122
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24755120  008.89237108
111  49.24754478  008.89236577
111  49.24753667  008.89238873
113  49.24754309  008.89239406
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24778875  008.89256760
111  49.24778233  008.89256228
111  49.24777422  008.89258524
113  49.24778064  008.89259057
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24776935  008.89175074
111  49.24776293  008.89174543
111  49.24775482  008.89176839
113  49.24776123  008.89177372
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24800689  008.89194726
111  49.24800047  008.89194194
111  49.24799237  008.89196490
113  49.24799878  008.89197024
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24799075  008.89112744
111  49.24798433  008.89112213
111  49.24797622  008.89114509
113  49.24798264  008.89115042
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24822830  008.89132396
111  49.24822188  008.89131864
111  49.24821377  008.89134160
113  49.24822019  008.89134693
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24844391  008.89073793
111  49.24844737  008.89072809
111  49.24843238  008.89071568
113  49.24842891  008.89072551
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24820096  008.89053765
111  49.24820443  008.89052781
111  49.24818944  008.89051540
113  49.24818596  008.89052523
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24842965  008.88988396
111  49.24842323  008.88987864
111  49.24841512  008.88990160
113  49.24842154  008.88990693
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24866720  008.89008047
111  49.24866077  008.89007516
111  49.24865267  008.89009812
113  49.24865908  008.89010345
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24865642  008.88924007
111  49.24865000  008.88923476
111  49.24864189  008.88925772
113  49.24864831  008.88926305
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24889397  008.88943659
111  49.24888755  008.88943127
111  49.24887944  008.88945423
113  49.24888586  008.88945956
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24886817  008.88864212
111  49.24886175  008.88863681
111  49.24885364  008.88865977
113  49.24886006  008.88866510
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24910572  008.88883864
111  49.24909930  008.88883332
111  49.24909119  008.88885628
113  49.24909761  008.88886161
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24909532  008.88799659
111  49.24908890  008.88799127
111  49.24908079  008.88801424
113  49.24908721  008.88801957
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24933287  008.88819310
111  49.24932645  008.88818779
111  49.24931834  008.88821075
113  49.24932476  008.88821608
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24930707  008.88739864
111  49.24930065  008.88739332
111  49.24929254  008.88741629
113  49.24929896  008.88742162
110 1 0.25 0.0000 asphalt_6L.pol
111  49.24954462  008.88759515
111  49.24953820  008.88758984
111  49.24953009  008.88761280
113  49.24953651  008.88761813
110 1 0.25 60.0000 asphalt_3D.pol
111  49.24948426  008.88660390
111  49.24946421  008.88665016
111  49.24981659  008.88698306
113  49.24983577  008.88693799
110 1 0.25 60.0000 asphalt_3D.pol
111  49.24972921  008.88657567
111  49.24944980  008.88724896
111  49.24947401  008.88727154
113  49.24975195  008.88659780
110 1 0.25 60.0000 asphalt_3D.pol
111  49.24987135  008.88562946
111  49.24971446  008.88548431
111  49.24963816  008.88568251
113  49.24978988  008.88582657
110 1 0.25 60.0000 asphalt_4D.pol
111  49.24962094  008.88635911
112  49.24956727  008.88637133  49.24955167  008.88635694
112  49.24945215  008.88626475  49.24941352  008.88622867
111  49.24940605  008.88617948
111  49.24931464  008.88619521
112  49.24934863  008.88621942  49.24937340  008.88623677
112  49.24941433  008.88628865  49.24943202  008.88630527
111  49.24958458  008.88644695
111  49.24989796  008.88674749
111  49.24988009  008.88679157
112  49.25004284  008.88694349  49.25007361  008.88697139
111  49.25016149  008.88700883
113  49.25020130  008.88691570
110 1 0.25 60.0000 asphalt_4D.pol
111  49.24970832  008.88500269
112  49.24977526  008.88497711  49.24980975  008.88500629
112  49.24984297  008.88503684  49.24985847  008.88505121
112  49.24984341  008.88512524  49.24983341  008.88515118
111  49.24973149  008.88542259
111  49.24978010  008.88546530
112  49.24988843  008.88517078  49.24990472  008.88512587
112  49.24995972  008.88514331  49.24998144  008.88516285
111  49.25005326  008.88522897
111  49.24999979  008.88536411
111  49.25003256  008.88539413
111  49.25008604  008.88525898
111  49.25038803  008.88553555
111  49.25043392  008.88540907
111  49.25037626  008.88535477
112  49.25031889  008.88537903  49.25029249  008.88535521
112  49.24979546  008.88490260  49.24973766  008.88484977
113  49.24971559  008.88482562
110 1 0.25 60.0000 asphalt_4L.pol
111  49.24995984  008.88514229
111  49.24993675  008.88520144
111  49.25003074  008.88528796
113  49.25005384  008.88522884
110 1 0.25 60.0000 asphalt_4L.pol
111  49.25008564  008.88525681
111  49.25006255  008.88531596
111  49.25034510  008.88557528
113  49.25036820  008.88551616
110 1 0.25 60.0000 asphalt_4L.pol
111  49.24984364  008.88512608
111  49.24980441  008.88509233
111  49.24969271  008.88539094
113  49.24973191  008.88542470
110 1 0.25 60.0000 asphalt_4L.pol
111  49.24993000  008.88519687
111  49.24989077  008.88516312
111  49.24977999  008.88546385
113  49.24981920  008.88549760
110 1 0.00 60.0000 Taxiway 2
111  49.24958413  008.88644525
111  49.25006020  008.88689906
111  49.25023348  008.88647522
111  49.24999615  008.88625305
111  49.25003641  008.88615552
111  49.24998937  008.88610853
111  49.25009985  008.88584062
111  49.24987010  008.88562824
111  49.24977131  008.88586776
114  49.24973317  008.88608446  49.24969765  008.88617153
110 3 0.00 118.4100 Taxiway 1
112  49.24874443  008.89190345  49.24877489  008.89182385
112  49.24995333  008.88841532  49.25002017  008.88822198
112  49.25021003  008.88824204  49.25036256  008.88833651
112  49.25039728  008.88794023  49.25040950  008.88785906
112  49.25034927  008.88776813  49.25031427  008.88772688
112  49.24979833  008.88721370  49.24977079  008.88717995
112  49.24980393  008.88699532  49.24983024  008.88692971
111  49.24990493  008.88674214
111  49.24957700  008.88643269
112  49.24946397  008.88670377  49.24942897  008.88678523
112  49.24920711  008.88699331  49.24911691  008.88724698
112  49.24911529  008.88757604  49.24912000  008.88770493
111  49.24926613  008.88792367
112  49.24810435  008.89122585  49.24806717  008.89133618
112  49.24837069  008.89174177  49.24831338  008.89191142
112  49.24630718  008.89755113  49.24625003  008.89771568
112  49.24591977  008.89742426  49.24586853  008.89756465
112  49.24508514  008.89977768  49.24504185  008.89989220
112  49.24473800  008.90035048  49.24468084  008.90052257
112  49.24471769  008.90070842  49.24477682  008.90077032
112  49.24536437  008.90134845  49.24540183  008.90138213
112  49.24548201  008.90136149  49.24551377  008.90129038
112  49.24586511  008.90041045  49.24588661  008.90035418
112  49.24584203  008.90022701  49.24579006  008.90018172
