I
1050 Generated by WorldEditor 2.2.0r2

1      5 1 0 EDXP Harle
1302 city Harlesiel
1302 country Germany
1302 datum_lat 53.707
1302 datum_lon 7.821333333
1302 faa_code 
1302 iata_code 
1302 icao_code EDXP
1302 region_code ED
1302 state Lower Saxony
1302 transition_alt 
1302 transition_level 
100 20.12 1 0 0.00 0 0 0 09  53.70637787  007.81642028    0    0 1 0 0 0 27  53.70683486  007.82417029    0    0 1 0 0 0
110 1 0.00 0.0000 New Taxiway 14
111  53.70629722  007.81647466
112  53.70623718  007.81651987  53.70620585  007.81653089
111  53.70582023  007.81662654
111  53.70581236  007.81653455
111  53.70559670  007.81659086
111  53.70561030  007.81674016
111  53.70549524  007.81677378
111  53.70552494  007.81702839
111  53.70593611  007.81689123
111  53.70592122  007.81672277
112  53.70626374  007.81663426  53.70629180  007.81662544
113  53.70630289  007.81668167
110 2 0.00 0.0000 New Taxiway 15
111  53.70604600  007.81657609
112  53.70598257  007.81648090  53.70597441  007.81640816
111  53.70592153  007.81589754
111  53.70587910  007.81584976
111  53.70579340  007.81514225
111  53.70544766  007.81523105
112  53.70543548  007.81528363  53.70542736  007.81530192
111  53.70542601  007.81532021
111  53.70547066  007.81578889
111  53.70540571  007.81579117
111  53.70542871  007.81588034
111  53.70552344  007.81587576
111  53.70558705  007.81660964
111  53.70580493  007.81654562
113  53.70581170  007.81663707
110 2 0.00 0.0000 New Taxiway 8
111  53.70535881  007.81648332
111  53.70524378  007.81652523
111  53.70527332  007.81675656
111  53.70529325  007.81691268
111  53.70550590  007.81683519
111  53.70546444  007.81651044
113  53.70536682  007.81654601
110 2 0.00 0.0000 New Taxiway 11
111  53.70552138  007.81584082
111  53.70529471  007.81590750
111  53.70536113  007.81655198
111  53.70546512  007.81652139
111  53.70549158  007.81677811
113  53.70561427  007.81674202
110 2 0.00 0.0000 New Taxiway 10
111  53.70556211  007.81532031
111  53.70537039  007.81538508
111  53.70542157  007.81581741
111  53.70562565  007.81574845
111  53.70561290  007.81564074
113  53.70560054  007.81564492
110 4 0.00 0.0000 New Taxiway 9
111  53.70491528  007.81578129
112  53.70489633  007.81585216  53.70489633  007.81585674
112  53.70491257  007.81606935  53.70491257  007.81614251
112  53.70495182  007.81623625  53.70496265  007.81627511
112  53.70507362  007.81657232  53.70510474  007.81664090
112  53.70520759  007.81681922  53.70525902  007.81688781
111  53.70529556  007.81688324
111  53.70527671  007.81676719
112  53.70524303  007.81681218  53.70522972  007.81681218
111  53.70519134  007.81672883
112  53.70506015  007.81644363  53.70501880  007.81635948
112  53.70494831  007.81608482  53.70493891  007.81602449
113  53.70498120  007.81600703
110 1 0.00 0.0000 New Taxiway 7
111  53.70518176  007.81602417
111  53.70524040  007.81653667
111  53.70535994  007.81649666
113  53.70530243  007.81597274
110 2 0.00 0.0000 New Taxiway 6
111  53.70496285  007.81460483
112  53.70479749  007.81526267  53.70479424  007.81527090
112  53.70478937  007.81531205  53.70478125  007.81535595
111  53.70476176  007.81540258
111  53.70478775  007.81547666
111  53.70480399  007.81546294
112  53.70485433  007.81548214  53.70488031  007.81550683
111  53.70489330  007.81560011
112  53.70490954  007.81585799  53.70491604  007.81601711
111  53.70499237  007.81600888
111  53.70520023  007.81594578
111  53.70520836  007.81601437
111  53.70530255  007.81597596
111  53.70529767  007.81592109
111  53.70542984  007.81587017
112  53.70536340  007.81529818  53.70535870  007.81526484
111  53.70534272  007.81527754
112  53.70496256  007.81536626  53.70494142  007.81537552
112  53.70490382  007.81542447  53.70488503  007.81542844
112  53.70484352  007.81536361  53.70482551  007.81532128
111  53.70484665  007.81522470
112  53.70497302  007.81472015  53.70497846  007.81469810
112  53.70501218  007.81465124  53.70501871  007.81462552
113  53.70500783  007.81458417
112  53.70525835  007.81550456  53.70524856  007.81551099
111  53.70523224  007.81551467
111  53.70522517  007.81543106
111  53.70497173  007.81550824
111  53.70498315  007.81559276
112  53.70497391  007.81559736  53.70496684  007.81560195
112  53.70493203  007.81555693  53.70492768  007.81551191
111  53.70496085  007.81548435
112  53.70523442  007.81539982  53.70525128  007.81539431
114  53.70527031  007.81544025  53.70527575  007.81548435
111  53.70527575  007.81562860
112  53.70530457  007.81572093  53.70531636  007.81582430
111  53.70529424  007.81581419
111  53.70528663  007.81575079
111  53.70500219  007.81585094
111  53.70500980  007.81590791
112  53.70498424  007.81584635  53.70497554  007.81579214
111  53.70498859  007.81574896
111  53.70500436  007.81582246
113  53.70528391  007.81571129
110 2 0.00 82.0000 Fuel
