I
1130 Generated by WorldEditor 2.0.0r4

1   1270 1 0 EDDS Stuttgart
1302 city Stuttgart
1302 country Germany
1302 datum_lat 48.689877778
1302 datum_lon 9.221963889
1302 faa_code 
1302 iata_code STR
1302 icao_code EDDS
1302 region_code ED
1302 state Baden-Württemberg
1302 transition_alt 5000
1302 transition_level 
100 45.00 2 2 0.25 1 3 0 07  48.68573162  009.20013103  300   50 3 2 1 2 25  48.69401588  009.24380951    0   48 3 2 1 2
102 H1  48.69053899  009.21988722  74.62 30.30 30.40 1 0 1 0.00 1
102 H01  48.68323848  009.19706481  74.51 30.20 30.50 1 0 1 0.00 1
110 1 0.25 30.0000 lib/airport/lines/safety_area_red.pol
111  48.68971471  009.19673962
111  48.68949623  009.19684168
111  48.68955409  009.19713180
113  48.68977156  009.19703369
110 1 0.25 30.0000 lib/airport/lines/safety_area_red.pol
111  48.68933551  009.19606437
111  48.68940277  009.19641875
111  48.68964091  009.19631904
113  48.68957077  009.19595716
110 1 0.25 30.0000 lib/airport/lines/safety_area_red.pol
111  48.68919345  009.19551460
111  48.68924021  009.19577415
111  48.68947418  009.19568514
113  48.68942301  009.19541050
110 1 0.25 300.0000 lib/airport/lines/safety_area_white.pol
111  48.68926474  009.19476447
111  48.68930196  009.19474782
111  48.68931041  009.19479347
111  48.68937914  009.19476663
112  48.68931304  009.19467279  48.68925559  009.19466160
111  48.68931304  009.19467279
112  48.68931304  009.19467279  48.68928242  009.19466770
113  48.68924985  009.19468446
110 1 0.25 30.0000 lib/airport/lines/safety_area_red.pol
111  48.68930163  009.19474886
111  48.68906769  009.19485221
111  48.68911765  009.19510415
113  48.68934976  009.19500725
110 1 0.25 29.0000 lib/airport/lines/safety_area_red.pol
111  48.68899525  009.19402684
111  48.68900364  009.19407097
111  48.68892011  009.19410623
111  48.68894646  009.19425938
111  48.68918601  009.19415416
113  48.68914731  009.19396372
110 1 0.25 29.0000 lib/airport/lines/safety_area_white.pol
111  48.68930720  009.19435722
111  48.68919748  009.19444602
111  48.68916851  009.19458417
111  48.68921377  009.19456533
114  48.68929327  009.19448739  48.68931864  009.19442887
110 1 0.25 29.0000 lib/airport/lines/safety_area_red.pol
111  48.68884451  009.19327227
111  48.68884963  009.19331768
111  48.68878310  009.19334425
111  48.68882356  009.19356629
111  48.68905581  009.19347042
113  48.68900803  009.19321476
110 1 0.25 29.0000 lib/airport/lines/safety_area_red.pol
111  48.68866315  009.19261491
111  48.68870505  009.19283674
111  48.68891699  009.19273698
113  48.68887213  009.19250560
110 1 0.25 29.0000 lib/airport/lines/safety_area_red.pol
111  48.68850518  009.19178562
111  48.68856061  009.19208278
111  48.68876531  009.19199326
113  48.68871048  009.19169611
110 1 0.25 60.0000 lib/airport/lines/safety_area_white.pol
111  48.68950015  009.20859366
111  48.68948665  009.20864947
111  48.68951363  009.20866364
113  48.68952676  009.20860829
110 1 0.25 60.0000 lib/airport/lines/safety_area_white.pol
111  48.68951814  009.20851927
111  48.68950470  009.20857484
111  48.68953130  009.20858915
113  48.68954447  009.20853366
110 1 0.25 88.0000 lib/airport/lines/safety_area_white.pol
111  48.68991251  009.21074824
111  48.68994352  009.21078467
111  48.68996062  009.21075003
113  48.68992979  009.21071428
110 1 0.25 88.0000 lib/airport/lines/safety_area_white.pol
111  48.68987118  009.21069970
111  48.68990205  009.21073596
111  48.68991913  009.21070191
113  48.68988822  009.21066607
110 1 0.25 88.0000 lib/airport/lines/safety_area_white.pol
111  48.68940357  009.20993748
111  48.68943458  009.20997391
111  48.68945168  009.20993927
113  48.68942085  009.20990351
110 1 0.25 88.0000 lib/airport/lines/safety_area_white.pol
111  48.68936224  009.20988894
111  48.68939311  009.20992520
111  48.68941018  009.20989115
113  48.68937928  009.20985531
110 1 0.25 155.0000 lib/airport/lines/safety_area_white.pol
111  48.68933928  009.20971542
111  48.68932784  009.20977228
111  48.68935529  009.20978416
113  48.68936638  009.20972779
110 1 0.25 155.0000 lib/airport/lines/safety_area_white.pol
111  48.68935453  009.20963964
111  48.68934314  009.20969625
111  48.68937022  009.20970830
113  48.68938134  009.20965180
110 1 0.25 90.0000 lib/airport/lines/safety_area_white.pol
111  48.68887155  009.20528496
111  48.68890280  009.20532090
111  48.68891967  009.20528600
113  48.68888859  009.20525073
110 1 0.25 90.0000 lib/airport/lines/safety_area_white.pol
111  48.68882989  009.20523706
111  48.68886101  009.20527284
111  48.68887785  009.20523853
113  48.68884670  009.20520317
110 1 0.25 79.0000 lib/airport/lines/safety_area_white.pol
111  48.68836309  009.20416380
111  48.68839434  009.20419973
111  48.68841121  009.20416484
113  48.68838013  009.20412956
110 1 0.25 79.0000 lib/airport/lines/safety_area_white.pol
111  48.68832143  009.20411590
111  48.68835255  009.20415168
111  48.68836939  009.20411736
113  48.68833824  009.20408201
110 1 0.25 150.0000 lib/airport/lines/safety_area_white.pol
111  48.68800455  009.20241442
111  48.68799251  009.20247099
